region_name,year,av_sec1_all,percentage_population,language,distance,av_gdp,av_rai,democracy,diff_unemployment,shdi_score,av_selfrule,av_sharedrule,avg_policy_minorityrights,percentage_speaker
Basque Country,1975,16.289999961853027,4.630000114440918,26,2.9100000858306885,,,0.07999999821186066,,0.9200000166893005,,,-0.9700000286102295,2.450000047683716
Basque Country,1976,19.650000254313152,4.630000114440918,26,2.9100000858306885,1.2699999809265137,17.5,0.10999999940395355,,0.9300000071525574,11.0,6.5,-0.9700000286102295,2.450000047683716
Basque Country,1977,19.650000254313152,4.630000114440918,26,2.9100000858306885,1.2899999618530273,18.0,0.2800000011920929,,0.9300000071525574,11.0,7.0,0.7900000214576721,2.450000047683716
Basque Country,1978,25.1233336130778,4.630000114440918,26,2.9100000858306885,1.299999992052714,18.166666666666668,0.3499999940395355,,0.9300000071525574,11.0,7.166666666666667,0.7900000214576721,2.450000047683716
Basque Country,1979,25.1233336130778,4.630000114440918,26,2.9100000858306885,1.292499989271164,18.25,0.7900000214576721,,0.9300000071525574,11.0,7.25,0.7900000214576721,2.450000047683716
Basque Country,1980,23.836666742960613,4.630000114440918,26,2.9100000858306885,1.2799999952316283,18.3,0.800000011920929,,0.9300000071525574,11.0,7.3,0.7900000214576721,2.450000047683716
Basque Country,1981,22.56999969482422,4.630000114440918,26,2.9100000858306885,1.277999997138977,18.5,0.800000011920929,,0.9300000071525574,11.0,7.5,0.7900000214576721,2.450000047683716
Basque Country,1982,26.843333307902018,4.630000114440918,26,2.9100000858306885,1.2740000009536743,18.5,0.800000011920929,,0.7799999713897705,11.0,7.5,1.5,2.450000047683716
Basque Country,1983,29.00999984741211,4.630000114440918,26,2.9100000858306885,1.2579999923706056,18.9,0.8100000023841858,,0.7900000214576721,11.0,7.9,1.5,2.450000047683716
Basque Country,1984,29.00999984741211,4.630000114440918,26,2.9100000858306885,1.2460000038146972,19.3,0.8100000023841858,,0.800000011920929,11.0,8.3,1.5,2.450000047683716
Basque Country,1985,36.23000011444092,4.630000114440918,26,2.9100000858306885,1.244000005722046,19.7,0.8100000023841858,,0.8100000023841858,11.0,8.7,1.5,2.450000047683716
Basque Country,1986,36.49666633605957,4.630000114440918,26,2.9100000858306885,1.2320000171661376,20.1,0.8100000023841858,,0.8199999928474426,11.0,9.1,1.5,2.450000047683716
Basque Country,1987,37.04999923706055,4.630000114440918,26,2.9100000858306885,1.2140000343322754,20.5,0.8100000023841858,,0.8199999928474426,11.0,9.5,1.5,2.450000047683716
Basque Country,1988,37.04999923706055,4.630000114440918,26,2.9100000858306885,1.2040000438690186,20.5,0.8100000023841858,,0.8299999833106995,11.0,9.5,1.5,2.450000047683716
Basque Country,1989,32.97999954223633,4.630000114440918,26,2.9100000858306885,1.2000000476837158,20.5,0.8199999928474426,,0.8399999737739563,11.0,9.5,1.5,2.450000047683716
Basque Country,1990,29.489999771118164,4.630000114440918,26,2.9100000858306885,1.1940000534057618,20.5,0.8199999928474426,,0.7799999713897705,11.0,9.5,1.5,2.450000047683716
Basque Country,1991,25.72000026702881,4.630000114440918,26,2.9100000858306885,1.1920000553131103,20.5,0.8199999928474426,,0.7900000214576721,11.0,9.5,1.5,2.450000047683716
Basque Country,1992,24.086666742960613,4.630000114440918,26,2.9100000858306885,1.1880000352859497,20.5,0.8199999928474426,,0.800000011920929,11.0,9.5,1.5,2.450000047683716
Basque Country,1993,24.086666742960613,4.630000114440918,26,2.9100000858306885,1.1880000352859497,20.5,0.8299999833106995,,0.8100000023841858,11.0,9.5,1.4199999570846558,2.450000047683716
Basque Country,1994,24.673333485921223,4.630000114440918,26,2.9100000858306885,1.1920000314712524,20.5,0.8299999833106995,,0.8199999928474426,11.0,9.5,1.4199999570846558,2.450000047683716
Basque Country,1995,23.710000038146973,4.630000114440918,26,2.9100000858306885,1.1980000257492065,20.5,0.8299999833106995,,0.8199999928474426,11.0,9.5,1.4199999570846558,2.450000047683716
Basque Country,1996,18.40666675567627,4.630000114440918,26,2.9100000858306885,1.206000018119812,20.5,0.8299999833106995,,0.8299999833106995,11.0,9.5,1.100000023841858,2.450000047683716
Basque Country,1997,29.080000241597492,4.630000114440918,26,2.9100000858306885,1.2140000343322754,20.5,0.8299999833106995,,0.8399999737739563,11.0,9.5,1.100000023841858,2.450000047683716
Basque Country,1998,29.080000241597492,4.630000114440918,26,2.9100000858306885,1.2200000286102295,20.7,0.8299999833106995,,0.8399999737739563,11.0,9.7,1.100000023841858,2.450000047683716
Basque Country,1999,30.320000171661377,4.630000114440918,26,2.9100000858306885,1.2220000267028808,20.9,0.8299999833106995,-4.820000171661377,0.8500000238418579,11.0,9.9,1.100000023841858,2.450000047683716
Basque Country,2000,34.643333752950035,4.630000114440918,26,2.9100000858306885,1.2220000267028808,21.1,0.8199999928474426,-1.899999976158142,0.8600000143051147,11.0,10.1,1.100000023841858,2.450000047683716
Basque Country,2001,49.856666564941406,4.630000114440918,26,2.9100000858306885,1.2240000247955323,21.3,0.8199999928474426,-0.800000011920929,0.8600000143051147,11.0,10.3,1.100000023841858,2.450000047683716
Basque Country,2002,48.364999771118164,4.630000114440918,26,2.9100000858306885,1.2300000190734863,21.5,0.8199999928474426,-2.0,0.8600000143051147,11.0,10.5,1.100000023841858,2.450000047683716
Basque Country,2003,48.364999771118164,4.630000114440918,26,2.9100000858306885,1.2380000114440919,21.5,0.8100000023841858,-2.0999999046325684,0.8700000047683716,11.0,10.5,1.100000023841858,2.450000047683716
Basque Country,2004,34.44666655858358,4.630000114440918,26,2.9100000858306885,1.25,21.5,0.8100000023841858,-1.5,0.8799999952316284,11.0,10.5,1.4600000381469727,2.450000047683716
Basque Country,2005,23.2566663424174,4.630000114440918,26,2.9100000858306885,1.2599999904632568,21.5,0.8100000023841858,-1.7999999523162842,0.8799999952316284,11.0,10.5,1.4600000381469727,2.450000047683716
Basque Country,2006,8.165000200271606,4.630000114440918,26,2.9100000858306885,1.2699999809265137,21.5,0.8199999928474426,-1.2999999523162842,0.8899999856948853,11.0,10.5,1.4600000381469727,2.450000047683716
Basque Country,2007,13.573333263397217,4.630000114440918,26,2.9100000858306885,1.2779999732971192,21.5,0.8100000023841858,-2.0,0.8899999856948853,11.0,10.5,1.4600000381469727,2.450000047683716
Basque Country,2008,16.429999947547913,4.630000114440918,26,2.9100000858306885,1.2859999656677246,21.5,0.8199999928474426,-4.699999809265137,0.8899999856948853,11.0,10.5,1.5,2.450000047683716
Basque Country,2009,19.703333218892414,4.630000114440918,26,2.9100000858306885,1.2899999618530273,21.5,0.8299999833106995,-6.599999904632568,0.8999999761581421,11.0,10.5,1.5,2.450000047683716
Basque Country,2010,24.69499969482422,4.630000114440918,26,2.9100000858306885,1.2959999561309814,21.5,0.8299999833106995,-9.199999809265137,0.8999999761581421,11.0,10.5,1.5,2.450000047683716
Basque Country,2011,21.519999821980793,4.630000114440918,26,2.9100000858306885,1.2959999561309814,21.5,0.8299999833106995,-9.0,0.9100000262260437,11.0,10.5,1.100000023841858,2.450000047683716
Basque Country,2012,19.161666730244956,4.630000114440918,26,2.9100000858306885,1.2959999561309814,21.5,0.8199999928474426,-9.199999809265137,0.9100000262260437,11.0,10.5,1.100000023841858,2.450000047683716
Basque Country,2013,16.242500095367433,4.630000114440918,26,2.9100000858306885,1.2939999580383301,21.5,0.800000011920929,-9.5,0.9200000166893005,11.0,10.5,1.100000023841858,2.450000047683716
Basque Country,2014,16.242500095367433,4.630000114440918,26,2.9100000858306885,1.2919999599456786,21.5,0.800000011920929,-8.199999809265137,0.9200000166893005,11.0,10.5,1.100000023841858,2.450000047683716
Basque Country,2015,16.755000178019205,4.630000114440918,26,2.9100000858306885,1.287999963760376,21.5,0.7799999713897705,-7.300000190734863,0.9200000166893005,11.0,10.5,1.100000023841858,2.450000047683716
Basque Country,2016,20.985000356038412,4.630000114440918,26,2.9100000858306885,1.287999963760376,21.5,0.7900000214576721,-7.0,0.9300000071525574,11.0,10.5,1.090000033378601,2.450000047683716
Basque Country,2017,22.82000047683716,4.630000114440918,26,2.9100000858306885,1.287999963760376,21.5,0.7799999713897705,-5.900000095367432,0.9300000071525574,11.0,10.5,1.090000033378601,2.450000047683716
Basque Country,2018,22.82000047683716,4.630000114440918,26,2.9100000858306885,1.2874999642372131,21.5,0.7900000214576721,-5.300000190734863,0.9300000071525574,11.0,10.5,1.090000033378601,2.450000047683716
Basque Country,2019,22.82000047683716,4.630000114440918,26,2.9100000858306885,1.2866666316986084,21.5,0.8100000023841858,-4.900000095367432,0.9300000071525574,11.0,10.5,0.9700000286102295,2.450000047683716
Basque Country,2020,27.860000610351562,4.630000114440918,26,2.9100000858306885,1.2899999618530273,21.5,0.800000011920929,-6.800000190734863,0.9300000071525574,11.0,10.5,0.9700000286102295,2.450000047683716
Basque Country,2021,27.860000610351562,4.630000114440918,26,2.9100000858306885,1.2899999618530273,21.5,0.800000011920929,-6.139999866485596,0.9300000071525574,11.0,10.5,0.9700000286102295,2.450000047683716
Bavaria,1975,0.20000000298023224,15.569999694824219,61,5.050000190734863,0.9399999976158142,26.0,0.8199999928474426,,0.949999988079071,15.0,11.0,1.909999966621399,9.5
Bavaria,1976,0.13333333532015482,15.569999694824219,61,5.050000190734863,0.9399999976158142,26.0,0.8199999928474426,,0.949999988079071,15.0,11.0,2.0999999046325684,9.5
Bavaria,1977,0.20000000298023224,15.569999694824219,61,5.050000190734863,0.9433333277702332,26.0,0.8199999928474426,,0.949999988079071,15.0,11.0,2.0999999046325684,9.5
Bavaria,1978,0.3000000019868215,15.569999694824219,61,5.050000190734863,0.9474999904632568,26.0,0.8199999928474426,,0.949999988079071,15.0,11.0,2.0999999046325684,9.5
Bavaria,1979,0.16666666666666666,15.569999694824219,61,5.050000190734863,0.9549999982118607,26.0,0.8299999833106995,,0.9599999785423279,15.0,11.0,2.0999999046325684,9.5
Bavaria,1980,0.16666666666666666,15.569999694824219,61,5.050000190734863,0.9580000042915344,26.0,0.8299999833106995,,0.949999988079071,15.0,11.0,2.130000114440918,9.5
Bavaria,1981,0.25,15.569999694824219,61,5.050000190734863,0.9640000104904175,26.0,0.8299999833106995,,0.949999988079071,15.0,11.0,2.130000114440918,9.5
