unit,time,pair,cov,treat
United Kingdom,2009Q3,SD:SD,5.687947617512111,0
United Kingdom,2009Q3,SE:SC,0.01881375097664921,0
United Kingdom,2009Q3,SE:SD,0.06084788201651467,0
United Kingdom,2009Q3,SE:SE,0.000650931582860662,0
United Kingdom,2009Q3,SG:SC,1.4001826408032816,0
United Kingdom,2009Q3,SG:SD,4.528504083790317,0
United Kingdom,2009Q3,SG:SE,0.04844451825706205,0
United Kingdom,2009Q3,SG:SG,3.605404025481413,0
United Kingdom,2009Q3,SH:SC,0.3122653368959169,0
United Kingdom,2009Q3,SH:SD,1.0099359984552128,0
United Kingdom,2009Q3,SH:SE,0.010803978976359286,0
United Kingdom,2009Q3,SH:SG,0.8040684621093109,0
United Kingdom,2009Q3,SH:SH,0.17932139843120767,0
United Kingdom,2009Q3,SI:SC,0.3473733408696417,0
United Kingdom,2009Q3,SI:SD,1.123483142046087,0
United Kingdom,2009Q3,SI:SE,0.01201867075292522,0
United Kingdom,2009Q3,SI:SG,0.8944699105809669,0
United Kingdom,2009Q3,SI:SH,0.1994825102320835,0
United Kingdom,2009Q3,SI:SI,0.22191033661695997,0
United Kingdom,2009Q3,SJ:SC,1.594174289921106,0
United Kingdom,2009Q3,SJ:SD,5.155916501035611,0
United Kingdom,2009Q3,SJ:SE,0.0551563797767953,0
United Kingdom,2009Q3,SJ:SG,4.104923339788814,0
United Kingdom,2009Q3,SJ:SH,0.9154700481757768,0
United Kingdom,2009Q3,SJ:SI,1.0183963813021915,0
United Kingdom,2009Q3,SJ:SJ,4.6736497508883215,0
United Kingdom,2009Q3,SK:SC,0.14991414705400385,0
United Kingdom,2009Q3,SK:SD,0.48485590905663756,0
United Kingdom,2009Q3,SK:SE,0.0051868366470984705,0
United Kingdom,2009Q3,SK:SG,0.38602183280535013,0
United Kingdom,2009Q3,SK:SH,0.08608965299054681,0
United Kingdom,2009Q3,SK:SI,0.09576871602499477,0
United Kingdom,2009Q3,SK:SJ,0.4395041498682396,0
United Kingdom,2009Q3,SK:SK,0.0413304179917824,0
United Kingdom,2009Q3,SL:SC,0.1035578016449437,0
United Kingdom,2009Q3,SL:SD,0.33492911138252135,0
United Kingdom,2009Q3,SL:SE,0.0035829667260919296,0
United Kingdom,2009Q3,SL:SG,0.26665643755337914,0
United Kingdom,2009Q3,SL:SH,0.059469072020704776,0
United Kingdom,2009Q3,SL:SI,0.06615518210122436,0
United Kingdom,2009Q3,SL:SJ,0.3036009907576578,0
United Kingdom,2009Q3,SL:SK,0.028550255679030686,0
United Kingdom,2009Q3,SL:SL,0.019721966022702483,0
United Kingdom,2009Q4,SC:SC,0.36698850388753546,0
United Kingdom,2009Q4,SD:SC,0.9430737649591122,0
United Kingdom,2009Q4,SD:SD,2.423476803040975,0
United Kingdom,2009Q4,SE:SC,0.03834103758647685,0
United Kingdom,2009Q4,SE:SD,0.09852740967656685,0
United Kingdom,2009Q4,SE:SE,0.004005670879701797,0
United Kingdom,2009Q4,SG:SC,1.1914225685642987,0
United Kingdom,2009Q4,SG:SD,3.0616745633468647,0
United Kingdom,2009Q4,SG:SE,0.12447359249351155,0
United Kingdom,2009Q4,SG:SG,3.867935158315903,0
United Kingdom,2009Q4,SH:SC,0.22442371917086767,0
United Kingdom,2009Q4,SH:SD,0.576715944893622,0
United Kingdom,2009Q4,SH:SE,0.023446615250553124,0
United Kingdom,2009Q4,SH:SG,0.7285881740405916,0
United Kingdom,2009Q4,SH:SH,0.1372413718494007,0
United Kingdom,2009Q4,SI:SC,0.33973354452833937,0
United Kingdom,2009Q4,SI:SD,0.8730349575730325,0
United Kingdom,2009Q4,SI:SE,0.035493582120871656,0
United Kingdom,2009Q4,SI:SG,1.1029397595883528,0
United Kingdom,2009Q4,SI:SH,0.20775655036190657,0
United Kingdom,2009Q4,SI:SI,0.3145027161754351,0
United Kingdom,2009Q4,SJ:SC,1.4623823249309067,0
United Kingdom,2009Q4,SJ:SD,3.757977131089886,0
United Kingdom,2009Q4,SJ:SE,0.15278204927955416,0
United Kingdom,2009Q4,SJ:SG,4.7476018658234285,0
United Kingdom,2009Q4,SJ:SH,0.8942876322668408,0
United Kingdom,2009Q4,SJ:SI,1.3537762775714153,0
United Kingdom,2009Q4,SJ:SJ,5.82732712773393,0
United Kingdom,2009Q4,SK:SC,0.12158433387952126,0
United Kingdom,2009Q4,SK:SD,0.3124430174165473,0
United Kingdom,2009Q4,SK:SE,0.012702494671686108,0
United Kingdom,2009Q4,SK:SG,0.39472168156065923,0
United Kingdom,2009Q4,SK:SH,0.07435221570460061,0
United Kingdom,2009Q4,SK:SI,0.1125546884178836,0
United Kingdom,2009Q4,SK:SJ,0.4844914185878641,0
United Kingdom,2009Q4,SK:SK,0.04028123521127276,0
United Kingdom,2009Q4,SL:SC,0.11715101514569329,0
United Kingdom,2009Q4,SL:SD,0.30105043550925087,0
United Kingdom,2009Q4,SL:SE,0.012239324740187053,0
United Kingdom,2009Q4,SL:SG,0.3803289800532021,0
United Kingdom,2009Q4,SL:SH,0.07164111748769172,0
United Kingdom,2009Q4,SL:SI,0.10845061684203709,0
United Kingdom,2009Q4,SL:SJ,0.4668254511571189,0
United Kingdom,2009Q4,SL:SK,0.03881246412057598,0
United Kingdom,2009Q4,SL:SL,0.037397248699300736,0
United Kingdom,2010Q1,SC:SC,0.310184962835185,0
United Kingdom,2010Q1,SD:SC,0.7830870784304546,0
United Kingdom,2010Q1,SD:SD,1.9769667968417242,0
United Kingdom,2010Q1,SE:SC,0.0008106443566699068,0
United Kingdom,2010Q1,SE:SD,0.002046537379209039,0
United Kingdom,2010Q1,SE:SE,2.1185561898109707e-06,0
United Kingdom,2010Q1,SG:SC,1.017456817841954,0
United Kingdom,2010Q1,SG:SD,2.5686521990956583,0
United Kingdom,2010Q1,SG:SE,0.002659044526207906,0
United Kingdom,2010Q1,SG:SG,3.337422828981986,0
United Kingdom,2010Q1,SH:SC,0.22224321940544453,0
United Kingdom,2010Q1,SH:SD,0.5610710196730619,0
United Kingdom,2010Q1,SH:SE,0.0005808154269389991,0
United Kingdom,2010Q1,SH:SG,0.728993684079276,0
United Kingdom,2010Q1,SH:SH,0.15923418118092572,0
United Kingdom,2010Q1,SI:SC,0.2944500607169051,0
United Kingdom,2010Q1,SI:SD,0.7433630427564878,0
United Kingdom,2010Q1,SI:SE,0.0007695224096601336,0
United Kingdom,2010Q1,SI:SG,0.9658437954311087,0
United Kingdom,2010Q1,SI:SH,0.21096938049387176,0
United Kingdom,2010Q1,SI:SI,0.279513350562571,0
United Kingdom,2010Q1,SJ:SC,1.2360827779558137,0
United Kingdom,2010Q1,SJ:SD,3.120591154516857,0
United Kingdom,2010Q1,SJ:SE,0.0032304065263768483,0
United Kingdom,2010Q1,SJ:SG,4.0545513178742185,0
United Kingdom,2010Q1,SJ:SH,0.8856361491981525,0
United Kingdom,2010Q1,SJ:SI,1.1733794110889915,0
United Kingdom,2010Q1,SJ:SJ,4.925772738928039,0
United Kingdom,2010Q1,SK:SC,0.11984525090865314,0
United Kingdom,2010Q1,SK:SD,0.30255904909126186,0
United Kingdom,2010Q1,SK:SE,0.0003132062735562387,0
United Kingdom,2010Q1,SK:SG,0.39311179532509927,0
United Kingdom,2010Q1,SK:SH,0.08586745839947307,0
United Kingdom,2010Q1,SK:SI,0.11376580310063565,0
United Kingdom,2010Q1,SK:SJ,0.4775816639012643,0
United Kingdom,2010Q1,SK:SK,0.046304256770144145,0
United Kingdom,2010Q1,SL:SC,0.07381955311009954,0
United Kingdom,2010Q1,SL:SD,0.18636344472554306,0
United Kingdom,2010Q1,SL:SE,0.00019292167999901739,0
United Kingdom,2010Q1,SL:SG,0.24214006673761718,0
United Kingdom,2010Q1,SL:SH,0.05289068492651881,0
United Kingdom,2010Q1,SL:SI,0.07007487305860471,0
United Kingdom,2010Q1,SL:SJ,0.2941698960573797,0
United Kingdom,2010Q1,SL:SK,0.028521443410992452,0
United Kingdom,2010Q1,SL:SL,0.017567990309930902,0
United Kingdom,2010Q2,SC:SC,0.31000191073819716,0
United Kingdom,2010Q2,SD:SC,0.9855875056215072,0
United Kingdom,2010Q2,SD:SD,3.1334733677095836,0
United Kingdom,2010Q2,SE:SC,0.013964373697355393,0
United Kingdom,2010Q2,SE:SD,0.04439686261019955,0
United Kingdom,2010Q2,SE:SE,0.0006290404220252555,0
United Kingdom,2010Q2,SG:SC,1.0033211221626053,0
United Kingdom,2010Q2,SG:SD,3.189853765013489,0
United Kingdom,2010Q2,SG:SE,0.045195692681265255,0
United Kingdom,2010Q2,SG:SG,3.2472486114053942,0
United Kingdom,2010Q2,SH:SC,0.17367692256391304,0
United Kingdom,2010Q2,SH:SD,0.5521701607779651,0
United Kingdom,2010Q2,SH:SE,0.007823466131269566,0
United Kingdom,2010Q2,SH:SG,0.5621053251756694,0
United Kingdom,2010Q2,SH:SH,0.09730157262399995,0
United Kingdom,2010Q2,SI:SC,0.3190531166704226,0
United Kingdom,2010Q2,SI:SD,1.0143639588258306,0
United Kingdom,2010Q2,SI:SE,0.014372095126388965,0
United Kingdom,2010Q2,SI:SG,1.0326153483537288,0
United Kingdom,2010Q2,SI:SH,0.17874781257248692,0
United Kingdom,2010Q2,SI:SI,0.32836859300224797,0
United Kingdom,2010Q2,SJ:SC,1.2194765986793992,0
United Kingdom,2010Q2,SJ:SD,3.8770757773530566,0
United Kingdom,2010Q2,SJ:SE,0.054932651539430485,0
United Kingdom,2010Q2,SJ:SG,3.9468357679619097,0
United Kingdom,2010Q2,SJ:SH,0.6832052818416694,0
United Kingdom,2010Q2,SJ:SI,1.2550819722007855,0
United Kingdom,2010Q2,SJ:SJ,4.797141963368675,0
United Kingdom,2010Q2,SK:SC,0.12009370433422545,0
United Kingdom,2010Q2,SK:SD,0.38181330629144367,0
United Kingdom,2010Q2,SK:SE,0.0054097517077535745,0
United Kingdom,2010Q2,SK:SG,0.3886832500817635,0
United Kingdom,2010Q2,SK:SH,0.0672818594517739,0
United Kingdom,2010Q2,SK:SI,0.12360011126734545,0
United Kingdom,2010Q2,SK:SJ,0.47242115939082663,0
United Kingdom,2010Q2,SK:SK,0.04652389976040002,0
United Kingdom,2010Q2,SL:SC,0.10227500967070041,0
United Kingdom,2010Q2,SL:SD,0.32516242054356104,0
United Kingdom,2010Q2,SL:SE,0.004607089200003177,0
United Kingdom,2010Q2,SL:SG,0.33101304836362316,0
United Kingdom,2010Q2,SL:SH,0.057299030488243474,0
United Kingdom,2010Q2,SL:SI,0.10526115956908486,0
United Kingdom,2010Q2,SL:SJ,0.4023264909114015,0
United Kingdom,2010Q2,SL:SK,0.039620996989744466,0
United Kingdom,2010Q2,SL:SL,0.033742300420772864,0
United Kingdom,2010Q3,SC:SC,0.5965167788768698,0
United Kingdom,2010Q3,SD:SC,1.8580729853546927,0
United Kingdom,2010Q3,SD:SD,5.787658186925092,0
United Kingdom,2010Q3,SE:SC,0.03740161191857333,0
United Kingdom,2010Q3,SE:SD,0.1165012069659922,0
United Kingdom,2010Q3,SE:SE,0.00234508168695841,0
United Kingdom,2010Q3,SG:SC,1.4159304606453798,0
United Kingdom,2010Q3,SG:SD,4.4104411329711555,0
United Kingdom,2010Q3,SG:SE,0.08877886334137237,0
United Kingdom,2010Q3,SG:SG,3.3609432967807114,0
United Kingdom,2010Q3,SH:SC,0.3422543181148706,0
United Kingdom,2010Q3,SH:SD,1.066078147554503,0
United Kingdom,2010Q3,SH:SE,0.021459351416216625,0
