unit,time,yyyymm,y,treat
C2,6,201008,-0.0898088456155577,0
C2,7,201009,0.211876408862571,0
C2,8,201010,0.23150517564637,0
C2,9,201011,-0.12853134805211,0
C2,10,201012,0.0939702703376026,0
C2,11,201101,-0.0506749200250036,0
C2,12,201102,-0.211477409682669,0
C2,13,201103,0.167687938236661,0
C2,14,201104,-0.212895449052947,0
C2,15,201105,0.167441604198993,0
C2,16,201106,0.0830283489316743,0
C2,17,201107,0.225774578841383,0
C2,18,201108,0.106350172193348,0
C2,19,201109,0.112473108228829,0
C2,20,201110,0.111585146286215,0
C2,21,201111,0.0466311294697066,0
C2,22,201112,-0.329996712801337,0
C2,23,201201,-0.0133850516133593,0
C2,24,201202,-0.020195469783113,0
C2,25,201203,0.128872876571597,0
C2,26,201204,-0.0178346760140426,0
C2,27,201205,0.103426873953087,0
C2,28,201206,-0.136708295295391,0
C2,29,201207,0.118912389480835,0
C2,30,201208,0.0120588411855422,0
C2,31,201209,0.0758420789326664,0
C2,32,201210,0.113712752318641,0
C2,33,201211,0.0830793300163322,0
C2,34,201212,-0.0138395566856326,0
C2,35,201301,-0.0881583378806257,0
C2,36,201302,0.111086330885798,0
C2,37,201303,-0.020358187443704,0
C2,38,201304,-0.0674814535912374,0
C2,39,201305,-0.0539025067190355,0
C2,40,201306,0.0397128514495844,0
C2,41,201307,0.040198087637763,0
C2,42,201308,-0.0925266330422394,0
C2,43,201309,0.10403582869082,0
C2,44,201310,0.0320013071571585,0
C2,45,201311,0.0911535286209091,0
C2,46,201312,-0.139210734184489,0
C2,47,201401,0.0844483306126884,0
C2,48,201402,-0.0481253701456765,0
C2,49,201403,-0.0445998497899103,0
C2,50,201404,0.0692197267769838,0
C2,51,201405,-0.0616179353851196,0
C2,52,201406,0.0021257060985231,0
C2,53,201407,0.0157640844570794,0
C2,54,201408,-0.0952246031381367,0
C2,55,201409,0.139331698017315,0
C2,56,201410,0.0475428310834944,0
C2,57,201411,0.0207931794482477,0
C2,58,201412,0.0337229270262807,0
C2,59,201501,-0.23965738918671,0
C2,60,201502,0.101325144102184,0
C2,61,201503,0.099301788021644,0
C2,62,201504,-0.079931639762215,0
C2,63,201505,0.0449578037149658,0
C2,64,201506,0.127802158611811,0
C2,65,201507,0.0633419883503157,0
C2,66,201508,-0.0024821653709175,0
C2,67,201509,0.143056146576894,0
C2,68,201510,-0.0247104175832016,0
C2,69,201511,0.049405034089288,0
C2,70,201512,-0.0670731989856845,0
C3,0,201002,0.216594601995411,0
C3,1,201003,0.0088420051038795,0
C3,2,201004,-0.138142310731228,0
C3,3,201005,0.206929042555889,0
C3,4,201006,0.169717547124129,0
C3,5,201007,-0.196423058041747,0
C3,6,201008,0.142880097923997,0
C3,7,201009,0.252792214066031,0
C3,8,201010,0.07002027691368,0
C3,9,201011,-0.049468478947623,0
C3,10,201012,-0.0675591939322508,0
C3,11,201101,-0.122217319362137,0
C3,12,201102,0.0383442386785111,0
C3,13,201103,0.166095731227858,0
C3,14,201104,-0.173800093706367,0
C3,15,201105,0.185677473518755,0
C3,16,201106,-0.173258043118115,0
C3,17,201107,0.0974387474982867,0
C3,18,201108,0.343199655901113,0
C3,19,201109,0.0183001047544007,0
C3,20,201110,-0.0400852779575747,0
C3,21,201111,-0.123398078609392,0
C3,22,201112,-0.284313141621585,0
C3,23,201201,-0.129013997494083,0
C3,24,201202,0.21829439931883,0
C3,25,201203,-0.0883819578897089,0
C3,26,201204,0.0267954153055143,0
C3,27,201205,0.172179394341391,0
C3,28,201206,0.0136391950498602,0
C3,29,201207,-0.113372720742015,0
C3,30,201208,0.184410503246356,0
C3,31,201209,0.036496417187692,0
C3,32,201210,0.0150540479059833,0
C3,33,201211,-0.0396705068325227,0
C3,34,201212,-0.118180551458312,0
C3,35,201301,0.155436498913722,0
C3,36,201302,0.164133014778431,0
C3,37,201303,0.107534473668491,0
C3,38,201304,-0.0954723596121667,0
C3,39,201305,0.0162286792612578,0
C3,40,201306,-0.198647653172447,0
C3,41,201307,0.166088545536965,0
C3,42,201308,0.0848780814499595,0
C3,43,201309,0.20733340854884,0
C3,44,201310,-0.0958467858154401,0
C3,45,201311,-0.134972318918556,0
C3,46,201312,-0.132899828920748,0
C3,47,201401,-0.0896614236336761,0
C3,48,201402,0.167132274028129,0
C3,49,201403,0.190848835719272,0
C3,50,201404,-0.0585946122130334,0
C3,51,201405,-0.100100213276058,0
C3,52,201406,-0.0945699377536506,0
C3,53,201407,0.0442549470209244,0
C3,54,201408,0.110290493248399,0
C3,55,201409,0.110289895308848,0
C3,56,201410,2.84270398527298e-05,0
C3,57,201411,-0.340990847917714,0
C3,58,201412,-0.0107036834455752,0
C3,59,201501,-0.372546592823129,0
C3,60,201502,0.107016684872181,0
C3,61,201503,0.151057089108938,0
C3,62,201504,-0.104622907647371,0
C3,63,201505,0.0356323859628747,0
C3,64,201506,-0.0331332862585745,0
C3,65,201507,0.0546920774129473,0
C3,66,201508,0.222087599027577,0
C3,67,201509,0.0335441512572237,0
C3,68,201510,-0.109802825474339,0
C3,69,201511,-0.0156501451713673,0
C3,70,201512,-0.233828189470076,0
C4,0,201002,-0.305429381909965,0
C4,1,201003,0.254128408332451,0
C4,2,201004,0.0807558345688459,0
C4,3,201005,-0.0036334768379031,0
C4,4,201006,-0.0121121027502289,0
C4,5,201007,0.0001719609066732,0
C4,6,201008,-0.764536206767002,0
C4,7,201009,0.562056405930679,0
C4,8,201010,0.468034195958118,0
C4,9,201011,-0.127874924187354,0
C4,10,201012,0.326810105634151,0
C4,11,201101,-0.0922622982417227,0
C4,12,201102,0.150300809367635,0
C4,13,201103,0.0210624680097826,0
C4,14,201104,-0.281402563455782,0
C4,15,201105,-0.030433722369251,0
C4,16,201106,-0.135387692537802,0
C4,17,201107,0.0479064173191386,0
C4,18,201108,-0.20955111121138,0
C4,19,201109,0.183777173985914,0
C4,20,201110,0.306488238025653,0
C4,21,201111,0.0303500631807792,0
C4,22,201112,0.289349913748069,0
C4,23,201201,0.0345540151347059,0
C4,24,201202,-0.213117535975589,0
C4,25,201203,-0.0063531608316251,0
C4,26,201204,-0.135700439803343,0
C4,27,201205,0.0136997874177514,0
C4,28,201206,0.0002040348675977,0
C4,29,201207,-0.0178938520128966,0
C4,30,201208,-0.20280140957676,0
C4,31,201209,0.151185069677705,0
C4,32,201210,0.0541248667613923,0
C4,33,201211,0.357063685871823,0
C4,34,201212,0.165036976032238,0
C4,35,201301,-0.158549504641376,0
C4,36,201302,0.104555619737779,0
C4,37,201303,-0.100170949818425,0
C4,38,201304,-0.126783406360004,0
C4,39,201305,0.158359795896624,0
C4,40,201306,-0.0060409930748077,0
C4,41,201307,0.0248650088468541,0
C4,42,201308,-0.0708262075889907,0
C4,43,201309,0.364758806726657,0
C4,44,201310,0.389573937867294,0
C4,45,201311,0.0869143559333052,0
C4,46,201312,0.13727456511239,0
C4,47,201401,-0.0993131511247327,0
C4,48,201402,-0.11851737181132,0
C4,49,201403,-0.897769883454773,0
C4,50,201404,0.616615087905891,0
C4,51,201405,-0.134432182885146,0
C4,52,201406,-0.158427299756396,0
C4,53,201407,-0.0962371803231417,0
C4,54,201408,-0.337429229843382,0
C4,55,201409,0.131717053143071,0
C4,56,201410,0.0291563384170601,0
C4,57,201411,0.026810688286381,0
C4,58,201412,0.34100263346468,0
C4,59,201501,-0.507771279605624,0
C4,60,201502,-0.103830905694363,0
C4,61,201503,0.244097181934647,0
C4,62,201504,-0.0512657457039953,0
C4,63,201505,0.0565391515584484,0
C4,64,201506,0.0767077891978207,0
C4,65,201507,-0.128732292966174,0
C4,66,201508,-0.0804578536346847,0
C4,67,201509,0.0045354995957316,0
C4,68,201510,0.182197141110584,0
C4,69,201511,0.197990336828013,0
C4,70,201512,0.174159679726663,0
C5,0,201002,0.13833756426689,0
C5,1,201003,0.231801993544456,0
C5,2,201004,-0.142176978497774,0
C5,3,201005,-0.130682679058711,0
C5,4,201006,0.0163825577771539,0
C5,5,201007,0.0209137121421485,0
C5,6,201008,-0.307973825056031,0
C5,7,201009,-0.016304669883485,0
C5,8,201010,0.482244612388742,0
C5,9,201011,-0.0017475269113198,0
C5,10,201012,0.0148134121298833,0
C5,11,201101,0.05367273078968,0
C5,12,201102,0.0876760910860908,0
C5,13,201103,0.269329948474814,0
C5,14,201104,-0.0942439401355966,0
C5,15,201105,0.0732661182236196,0
C5,16,201106,-0.2586179489372,0
C5,17,201107,-0.0762304220931451,0
C5,18,201108,0.195806146969168,0
C5,19,201109,-0.164738270324083,0
C5,20,201110,0.244920904249326,0
C5,21,201111,0.0660394472163102,0
