"country","rgdpl1980"
"Afghanistan",6.69085805369163
"Albania",7.97185893518658
"Algeria",8.47550707364901
"Angola",7.65597286166866
"Antigua.and.Barbuda",8.80611684278982
"Argentina",9.06529691190822
"Australia",10.0045158978803
"Austria",10.0111371961402
"Bahamas",9.89339327632332
"Bahrain",10.3151497522783
"Bangladesh",6.57375614172812
"Barbados",9.94215763335001
"Belgium",9.98950560300695
"Belize",8.61507569631739
"Benin",6.86486468805753
"Bermuda",10.3929913736432
"Bhutan",6.79184419013953
"Bolivia",8.11147655167664
"Botswana",7.9999728315051
"Brazil",8.99035420587111
"Brunei",11.5075382801124
"Bulgaria",8.53010112444702
"Burkina.Faso",6.50116744084842
"Burundi",5.91368515121092
"Cambodia",6.33294333714195
"Cameroon",7.58784204238038
"Canada",10.074901503769
"Cape.Verde",7.01380935407201
"Central.African.Republic",6.80141739696849
"Chad",6.37369702217012
"Chile",8.54103139031868
"China",7.07641899057745
"Colombia",8.34846159141976
"Comoros",7.23974247281868
"Congo",7.46970263241929
"Costa.Rica",9.04085333918437
"Cuba",8.91555701162464
"Cyprus",9.11536045762822
"Denmark",9.96903977845135
"Djibouti",8.237564205643
"Dominica",7.79281495918473
"Dominican.Republic",8.35471355526412
"DR.Congo..Zaire.",6.64849971748657
"Ecuador",8.63667930933771
"Egypt",7.47228639544462
"El.Salvador",8.39543948306243
"Equatorial.Guinea",6.64577175202492
"Ethiopia",6.11499238308787
"Fiji",8.18529615259761
"Finland",9.84968321337599
"France",9.95514787955896
"Gabon",9.47712332119978
"Gambia..The",6.74952150800527
"Germany",9.97188144467076
"Ghana",6.69774596964094
"Greece",9.76775430904473
"Grenada",8.43550276032509
"Guatemala",8.65591302576801
"Guinea",6.78396678409972
"Guinea.Bissau",5.94162335580298
"Guyana",7.74349907608163
"Haiti",7.77664408264127
"Honduras",8.09281525802064
"Hong.Kong",9.53691377641815
"Hungary",9.26896299112194
"Iceland",10.0756779621306
"India",6.92719117237299
"Indonesia",7.37722063838665
"Iran",8.65092988796447
"Iraq",9.25753402430329
"Ireland",9.54783708364358
"Israel",9.63312922048411
"Italy",9.88956254812295
"Ivory.Coast",7.34196720927981
"Jamaica",8.73834403861374
"Japan",9.92819431136791
"Jordan",8.49826783120874
"Kenya",7.04270304307885
"Kiribati",7.42611981361227
"Korea..Republic.of",8.58872824215888
"Laos",6.66923257237773
"Lebanon",9.56894375527988
"Lesotho",6.67681566720711
"Liberia",7.47412307784428
"Luxembourg",10.2206171346289
"Macao",9.51257232960936
"Madagascar",6.69569854119282
"Malawi",6.80189986310362
"Malaysia",8.35629882395562
"Maldives",6.89150048268414
"Mali",6.33445424883742
"Malta",9.13358264617009
"Marshall.Islands",8.78791138750302
"Mauritania",7.23521704294507
"Mauritius",7.99980843683943
"Mexico",9.14772054230567
"Micronesia..Fed..Sts.",7.92355029219872
"Mongolia",7.60454182899584
"Morocco",7.64692403279339
"Mozambique",6.15108516806434
"Namibia",8.40447814179634
"Nepal",6.55272469662527
"Netherlands",10.0990341878508
"New.Zealand",9.76544600443372
"Nicaragua",8.03664455853452
"Niger",6.53347367199471
"Nigeria",7.27660757706627
"Norway",10.1603803372595
"Oman",9.12295685302305
"Pakistan",7.28162789162918
"Palau",9.80974099962986
"Panama",8.57465989106457
"Papua.New.Guinea",7.63661848073853
"Paraguay",8.22306022327277
"Peru",8.6310072946032
"Philippines",7.67870388819442
"Poland",9.07287829288682
"Portugal",9.29710413497867
"Puerto.Rico",9.45370607041896
"Romania",8.90818689198856
"Rwanda",6.66409710946637
"Samoa",8.48439702857315
"Sao.Tome.and.Principe",7.34158494900256
"Senegal",7.03672967927102
"Seychelles",9.19711216374801
"Singapore",9.568314771257
"Solomon.Islands",7.45688658200094
"Somalia",6.63121978528998
"South.Africa",8.71708449232025
"Spain",9.65018242985156
"Sri.Lanka",7.27542990400355
"St..Kitts...Nevis",8.24423472605575
"St..Lucia",8.79983644029208
"St.Vincent...Grenadines",7.56888791944309
"Sudan",7.28306422646576
"Suriname",9.07178024213495
"Swaziland",7.70901039757627
"Sweden",10.0164402743206
"Switzerland",10.3006113013685
"Syria",8.04088170943207
"Taiwan",8.90650764365549
"Tanzania",6.51762991312049
"Thailand",7.80907693112514
"Togo",7.18678452345971
"Tonga",8.14343719333905
"Trinidad...Tobago",9.44205429253337
"Tunisia",8.05250532841687
"Turkey",8.59919226108816
"Uganda",6.30043031864509
"United.Kingdom",9.85951110880158
"United.States",10.1311891003838
"Uruguay",8.79870255181975
"Vanuatu",8.26690580697378
"Venezuela",9.17572925827607
"Vietnam",6.49439992458869
"Zambia",7.4144915527423
"Zimbabwe",5.44498108892495
