Date,Visitor Arrivals,Visitor Days,Occupancy,Mean Daily Rate,Revenue per Available Room,Total Leisure Emp,Unemp Rate,LFP,Accommodation Emp,Econ Activity Index,NatRes_Constr_Emp,Wholesale_Emp,Financial_Emp,HealthCare_Emp,Government_Emp,Mandatory Quarantine
1991-01-01,-5.562146031940518,-7.118643009229353,-10.5255635500261,-0.3668183745440645,-11.22677020219779,3.73932,-3.84615,0.73964,6.81613,2.89505,7.079646017699126,0.5813953488372103,2.9508196721311553,8.791208791208781,6.225296442687744,0
1991-02-01,-22.71751220229689,-23.00346783839634,-23.72997475969882,-3.601355775964588,-26.98734086329838,1.90074,-7.40741,0.59084,4.10212,2.59636,4.347826086956519,-0.5747126436781658,1.9543973941368087,9.016393442622949,4.671115347950439,0
1991-03-01,-13.91888075470618,-9.632595965665702,-20.48538865822255,0.09800207663124283,-21.02913007393755,3.33333,-3.7037,0.73855,7.64419,2.07081,4.31034482758621,-0.5747126436781658,1.6129032258064502,8.943089430894302,3.2437442075996303,0
1991-04-01,-1.876615744290178,-6.091600917809226,-9.4213355257183,-3.097765232319394,-12.08572257666354,0.10493,-3.7037,0.58997,0.78852,1.86418,5.5393586005831,-0.5780346820809301,1.6233766233766156,7.297297297297289,1.930147058823528,0
1991-05-01,-0.04911077516509543,-2.013216073307122,-8.609623032346503,-0.5936935349836414,-9.210603222320357,0.73452,-3.7037,0.73855,1.84658,1.72551,4.885057471264376,-1.1494252873563204,0.9646302250803762,6.702412868632712,1.2669683257918507,0
1991-06-01,-1.072625587287468,-3.003448325447811,-1.150245487945256,-1.320462853000226,-1.267372920918186,1.25,0.0,0.88757,2.08448,1.63,3.370786516853941,-1.7045454545454586,0.0,6.084656084656093,1.951672862453524,0
1991-07-01,0.977785731502423,-0.5423953364236955,-2.776840419061655,2.997333469760788,0.7490060888079908,2.93194,3.84615,0.88757,4.63763,1.47796,1.9553072625698276,-1.6949152542372836,-0.3144654088050314,5.897435897435899,2.1484375,0
1991-08-01,0.06800432941356238,-1.187027285764575,-1.921698343885891,0.06918049179420738,-1.585909464054669,3.42679,7.69231,0.73855,6.97379,1.51615,1.1080332409972193,-1.6949152542372836,-0.6249999999999978,5.9125964010282805,3.036238981390804,0
1991-09-01,8.240233734436476,4.792415916542181,-0.08777921183718007,-0.6919677853071793,0.8486054005102384,3.78151,16.0,0.58997,7.98006,1.01183,-0.27700831024930483,-1.1363636363636354,-0.9433962264150941,5.208333333333326,3.182751540041062,0
1991-10-01,-0.5088794248391038,-3.033027652902853,-6.094810504278536,-1.544919103522302,-8.722018936138742,2.09864,20.0,0.44183,5.82783,0.79948,-3.513513513513511,-1.1299435028248594,-1.253918495297801,5.958549222797926,3.615604186489052,0
1991-11-01,-1.360584095772477,-4.060849962991753,-4.253235129099697,-1.944246175883257,-7.125002662267644,0.72165,24.0,0.44183,2.9503,0.40523,-4.336043360433606,0.0,-0.31347962382445305,5.398457583547556,2.93040293040292,0
1991-12-01,0.8125877859907593,-0.3662422956330791,2.354873067353758,1.908933834458071,5.349388326506777,1.33197,28.0,0.29412,3.51154,0.54938,-5.107526881720426,-2.7932960893854775,0.0,5.897435897435899,3.5358114233907445,0
1992-01-01,2.142066006510213,5.929072030741334,1.638493926864748,0.9159119606286126,1.492895393209093,2.05973,36.0,0.14684,1.94712,-0.23447,-6.6115702479338845,-0.5780346820809301,-1.9108280254777066,2.777777777777768,2.6046511627906943,0
1992-02-01,30.50052641219847,31.86834718580622,18.95223333141141,4.240107098043788,24.10870646582701,2.90155,40.0,0.29369,3.15434,-0.15654,-7.222222222222219,-1.7341040462427793,-0.9584664536741228,2.2556390977443552,2.914389799635697,0
1992-03-01,9.250301821468021,5.780137009605757,9.187967725337675,1.914277529063479,11.41401455687168,3.53798,42.30769,0.14663,4.82042,0.02618,-7.162534435261703,-1.1560693641618491,-0.952380952380949,2.238805970149249,2.9622980251346576,0
1992-04-01,-4.263083338861806,4.066338975223815,0.2592341756559202,5.303788496138462,4.897229227926214,4.29769,50.0,0.29326,5.38341,-0.40523,-7.182320441988955,-0.5813953488372103,-0.9584664536741228,3.5264483627204024,3.3363390441839558,0
