unit,week,sales,showroom
Control1,85,2023.625,0
Control1,86,2161.25,0
Control1,87,2725.0,0
Control1,88,2273.75,0
Control1,89,2406.25,0
Control1,90,3017.625,0
Control1,91,2824.2425,0
Control1,92,2106.25,0
Control1,93,2280.0,0
Control1,94,2987.625,0
Control1,95,2807.5,0
Control1,96,2313.75,0
Control1,97,3977.625,0
Control1,98,3813.75,0
Control1,99,3728.75,0
Control1,100,3340.0,0
Control1,101,4227.5,0
Control1,102,4587.5,0
Control1,103,4268.2,0
Control1,104,3722.5,0
Control1,105,4051.25,0
Control1,106,3934.875,0
Control1,107,3647.5,0
Control1,108,4177.5,0
Control1,109,4075.0,0
Control1,110,3090.7,0
Control2,1,748.75,0
Control2,2,783.75,0
Control2,3,736.25,0
Control2,4,511.25,0
Control2,5,187.625,0
Control2,6,403.75,0
Control2,7,332.5,0
Control2,8,118.75,0
Control2,9,166.25,0
Control2,10,475.0,0
Control2,11,261.25,0
Control2,12,522.5,0
Control2,13,522.5,0
Control2,14,166.25,0
Control2,15,190.0,0
Control2,16,142.5,0
Control2,17,285.0,0
Control2,18,332.5,0
Control2,19,380.0,0
Control2,20,285.0,0
Control2,21,237.5,0
Control2,22,190.0,0
Control2,23,190.0,0
Control2,24,356.25,0
Control2,25,356.25,0
Control2,26,522.5,0
Control2,27,760.0,0
Control2,28,451.25,0
Control2,29,213.75,0
Control2,30,570.0,0
Control2,31,475.0,0
Control2,32,665.0,0
Control2,33,417.5,0
Control2,34,522.5,0
Control2,35,546.25,0
Control2,36,403.75,0
Control2,37,332.5,0
Control2,38,463.75,0
Control2,39,498.75,0
Control2,40,213.75,0
Control2,41,807.5,0
Control2,42,807.5,0
Control2,43,811.75,0
Control2,44,498.75,0
Control2,45,715.2525,0
Control2,46,926.25,0
Control2,47,891.25,0
Control2,48,1852.5,0
Control2,49,1353.75,0
Control2,50,1258.75,0
Control2,51,1068.75,0
Control2,52,1401.25,0
Control2,53,1353.75,0
Control2,54,1335.7,0
Control2,55,1021.25,0
Control2,56,1805.0,0
Control2,57,1543.75,0
Control2,58,1377.5,0
Control2,59,1675.0,0
Control2,60,1485.0,0
Control2,61,1532.5,0
Control2,62,902.5,0
Control2,63,998.75,0
Control2,64,902.5,0
Control2,65,997.5,0
Control2,66,973.75,0
Control2,67,997.5,0
Control2,68,950.0,0
Control2,69,1010.0,0
Control2,70,1686.25,0
Control2,71,1472.5,0
Control2,72,1662.5,0
Control2,73,2119.45,0
Control2,74,1540.0,0
Control2,75,1900.0,0
Control2,76,1852.5,0
Control2,77,1686.25,0
Control2,78,1662.5,0
Control2,79,1655.0,0
Control2,80,1705.25,0
Control2,81,1486.25,0
Control2,82,1425.0,0
Control2,83,1223.75,0
Control2,84,1868.75,0
Control2,85,1563.75,0
Control2,86,1846.25,0
Control2,87,1268.2,0
Control2,88,1273.75,0
Control2,89,2001.625,0
Control2,90,2278.875,0
Control2,91,1943.75,0
Control2,92,1428.75,0
Control2,93,1438.75,0
Control2,94,1956.3475,0
Control2,95,2325.0,0
Control2,96,1890.125,0
Control2,97,2325.0,0
Control2,98,2375.0,0
Control2,99,2745.0,0
