"munid","year","coalXpost","psoe","pp","podem","cs","vox","others"
"0244001",2008,0,42.3728813559322,45.7627118644068,5.08474576271186,0,0,6.77966101694915
"0244001",2011,0,21.2765957446809,59.5744680851064,10.6382978723404,6.38297872340426,0,2.12765957446808
"0244001",2015,0,12,44,12,14,0,18
"0244001",2016,0,9.61538461538461,50,19.2307692307692,13.4615384615385,0,7.69230769230769
"0244001",2019,0,26,26,18,16,14,0
"0244002",2008,0,52.9411764705882,37.2549019607843,1.96078431372549,0,0,7.84313725490196
"0244002",2011,0,36.1702127659574,48.936170212766,8.51063829787234,4.25531914893617,0,2.12765957446808
"0244002",2015,0,34.1463414634146,29.2682926829268,29.2682926829268,2.4390243902439,0,4.8780487804878
"0244002",2016,0,35,30,32.5,2.5,0,0
"0244002",2019,0,42.8571428571429,30.952380952381,14.2857142857143,7.14285714285714,4.76190476190476,0
"0244003",2008,0,27.7777777777778,66.6666666666667,0,0,0,5.55555555555554
"0244003",2011,0,21.0526315789474,68.4210526315789,5.26315789473684,0,0,5.26315789473685
"0244003",2015,0,25,56.25,6.25,6.25,0,6.25
"0244003",2016,0,17.6470588235294,58.8235294117647,5.88235294117647,11.7647058823529,0,5.88235294117646
"0244003",2019,0,14.2857142857143,35.7142857142857,0,28.5714285714286,14.2857142857143,7.14285714285714
"0244004",2008,0,42.0454545454545,38.9204545454545,4.82954545454545,0.568181818181818,0,13.6363636363636
"0244004",2011,0,34.0361445783133,55.7228915662651,5.72289156626506,1.20481927710843,0,3.31325301204819
"0244004",2015,0,19.5876288659794,39.8625429553265,20.2749140893471,8.93470790378007,0,11.340206185567
"0244004",2016,0,17.8451178451178,44.7811447811448,27.9461279461279,8.41750841750842,0,1.01010101010101
"0244004",2019,0,28.0645161290323,23.5483870967742,19.3548387096774,13.8709677419355,12.5806451612903,2.58064516129032
"0244005",2008,0,37.7777777777778,51.1111111111111,4.44444444444444,0,0,6.66666666666666
"0244005",2011,0,30.2325581395349,58.1395348837209,0,9.30232558139535,0,2.32558139534883
"0244005",2015,0,16.2162162162162,51.3513513513514,2.7027027027027,21.6216216216216,0,8.1081081081081
"0244005",2016,0,16.6666666666667,53.3333333333333,0,30,0,0
"0244005",2019,0,25.8064516129032,32.258064516129,0,25.8064516129032,9.67741935483871,6.45161290322581
"0244006",2008,0,42.5196850393701,40.9448818897638,0,0,0,16.5354330708661
"0244006",2011,0,35.377358490566,58.0188679245283,2.35849056603774,1.88679245283019,0,2.35849056603773
"0244006",2015,0,36.5591397849462,41.3978494623656,11.8279569892473,7.52688172043011,0,2.68817204301075
"0244006",2016,0,34.4262295081967,43.1693989071038,13.1147540983607,7.10382513661202,0,2.18579234972678
"0244006",2019,0,39.0532544378698,27.2189349112426,5.91715976331361,23.0769230769231,2.9585798816568,1.77514792899409
"0244007",2008,0,34.0540540540541,52.972972972973,0,0,0,12.972972972973
"0244007",2011,0,24.1379310344828,71.7241379310345,1.37931034482759,0.689655172413793,0,2.06896551724138
"0244007",2015,0,25.8333333333333,57.5,3.33333333333333,10.8333333333333,0,2.5
"0244007",2016,0,21.4876033057851,57.8512396694215,2.47933884297521,13.2231404958678,0,4.95867768595041
"0244007",2019,0,21.3675213675214,37.6068376068376,1.70940170940171,18.8034188034188,17.0940170940171,3.41880341880342
"0244008",2008,0,51.3338139870224,31.8673395818313,2.81182408074982,0.288392213410238,0,13.6986301369863
"0244008",2011,0,46.5393794749403,43.1980906921241,7.23945902943516,1.67064439140811,0,1.35242641209229
"0244008",2015,0,37.1666666666667,31.25,14,11,0,6.58333333333334
"0244008",2016,0,38.6816999132697,34.2584562012142,14.6574154379879,11.1882046834345,0,1.21422376409367
"0244008",2019,0,45.1669595782074,21.0896309314587,8.43585237258348,12.7416520210896,11.0720562390158,1.49384885764499
