FIPS,State,year,month,civilian,total,percent,total_emp,perc_emp,total_unem,perc_unem
10,Delaware,2004,10,636204,421353,66.2,402703,63.3,18650,4.4
11,District of Columbia,2004,10,464285,316694,68.2,290153,62.5,26541,8.4
12,Florida,2004,10,13660059,8416258,61.6,8115866,59.4,300392,3.6
13,Georgia,2004,10,6632340,4495936,67.8,4251657,64.1,244279,5.4
15,Hawaii,2004,10,945789,614700,65.0,595481,63.0,19219,3.1
16,Idaho,2004,10,1035876,709974,68.5,676484,65.3,33490,4.7
17,Illinois,2004,10,9575124,6366944,66.5,5980251,62.5,386693,6.1
18,Indiana,2004,10,4725924,3162880,66.9,2990119,63.3,172761,5.5
19,Iowa,2004,10,2266982,1608704,71.0,1534379,67.7,74325,4.6
20,Kansas,2004,10,2056435,1460286,71.0,1381290,67.2,78996,5.4
21,Kentucky,2004,10,3183913,1966154,61.8,1862742,58.5,103412,5.3
22,Louisiana,2004,10,3346145,2037986,60.9,1925636,57.5,112350,5.5
23,Maine,2004,10,1038218,686180,66.1,654358,63.0,31822,4.6
24,Maryland,2004,10,4221895,2891348,68.5,2757770,65.3,133578,4.6
25,Massachusetts,2004,10,5049924,3384634,67.0,3218714,63.7,165920,4.9
26,Michigan,2004,10,7718019,5070143,65.7,4707409,61.0,362734,7.2
27,Minnesota,2004,10,3904112,2891183,74.1,2762767,70.8,128416,4.4
28,Mississippi,2004,10,2140328,1314472,61.4,1229171,57.4,85301,6.5
29,Missouri,2004,10,4400691,3003305,68.2,2822567,64.1,180738,6.0
30,Montana,2004,10,721107,480123,66.6,459133,63.7,20990,4.4
31,Nebraska,2004,10,1317804,973912,73.9,935937,71.0,37975,3.9
32,Nevada,2004,10,1775557,1189438,67.0,1138683,64.1,50755,4.3
33,New Hampshire,2004,10,1011237,717775,71.0,692436,68.5,25339,3.5
34,New Jersey,2004,10,6612297,4342064,65.7,4143380,62.7,198684,4.6
35,New Mexico,2004,10,1420034,893977,63.0,845498,59.5,48479,5.4
36,New York,2004,10,14949242,9404648,62.9,8896900,59.5,507748,5.4
51000,New York city,2004,10,6379289,3782453,59.3,3544734,55.6,237719,6.3
37,North Carolina,2004,10,6483763,4291165,66.2,4047089,62.4,244076,5.7
38,North Dakota,2004,10,490501,354665,72.3,342653,69.9,12012,3.4
39,Ohio,2004,10,8796157,5861874,66.6,5490021,62.4,371853,6.3
40,Oklahoma,2004,10,2643012,1695658,64.2,1619246,61.3,76412,4.5
41,Oregon,2004,10,2792241,1842831,66.0,1712380,61.3,130451,7.1
42,Pennsylvania,2004,10,9665811,6231696,64.5,5902258,61.1,329438,5.3
44,Rhode Island,2004,10,837929,553691,66.1,527023,62.9,26668,4.8
45,South Carolina,2004,10,3193896,2055359,64.4,1901855,59.5,153504,7.5
46,South Dakota,2004,10,584947,426933,73.0,411273,70.3,15660,3.7
47,Tennessee,2004,10,4559601,2885829,63.3,2724645,59.8,161184,5.6
48,Texas,2004,10,16407952,11052652,67.4,10405657,63.4,646995,5.9
49,Utah,2004,10,1744191,1242536,71.2,1183774,67.9,58762,4.7
50,Vermont,2004,10,493024,346518,70.3,334548,67.9,11970,3.5
51,Virginia,2004,10,5645219,3829026,67.8,3677759,65.1,151267,4.0
53,Washington,2004,10,4761572,3205718,67.3,3012926,63.3,192792,6.0
54,West Virginia,2004,10,1433605,788520,55.0,744620,51.9,43900,5.6
55,Wisconsin,2004,10,4259357,3027357,71.1,2881043,67.6,146314,4.8
56,Wyoming,2004,10,387319,275357,71.1,264960,68.4,10397,3.8
1,Alabama,2004,11,3455389,2133332,61.7,2021719,58.5,111613,5.2
2,Alaska,2004,11,474732,340258,71.7,315753,66.5,24505,7.2
4,Arizona,2004,11,4361732,2804115,64.3,2675079,61.3,129036,4.6
5,Arkansas,2004,11,2096365,1314212,62.7,1242580,59.3,71632,5.5
6,California,2004,11,26606532,17417930,65.5,16394216,61.6,1023714,5.9
37,Los Angeles County,2004,11,7348519,4757226,64.7,4468070,60.8,289156,6.1
