FIPS,State,year,month,civilian,total,percent,total_emp,perc_emp,total_unem,perc_unem
1,Alabama,1976,1,2605000,1484555,57.0,1386023,53.2,98532,6.6
2,Alaska,1976,1,232000,160183,69.0,148820,64.1,11363,7.1
4,Arizona,1976,1,1621000,964120,59.5,865871,53.4,98249,10.2
5,Arkansas,1976,1,1536000,889044,57.9,824395,53.7,64649,7.3
6,California,1976,1,15621000,9774280,62.6,8875685,56.8,898595,9.2
37,Los Angeles County,1976,1,5273000,3381856,64.1,3081806,58.4,300050,8.9
8,Colorado,1976,1,1832000,1230966,67.2,1160104,63.3,70862,5.8
9,Connecticut,1976,1,2248000,1442847,64.2,1301974,57.9,140873,9.8
10,Delaware,1976,1,417000,261418,62.7,240543,57.7,20875,8.0
11,District of Columbia,1976,1,520000,334691,64.4,305677,58.8,29014,8.7
12,Florida,1976,1,6421000,3584876,55.8,3238460,50.4,346416,9.7
13,Georgia,1976,1,3522000,2244770,63.7,2056467,58.4,188303,8.4
15,Hawaii,1976,1,583000,407457,69.9,367586,63.1,39871,9.8
16,Idaho,1976,1,580000,365606,63.0,345182,59.5,20424,5.6
17,Illinois,1976,1,8127000,5123609,63.0,4786415,58.9,337194,6.6
18,Indiana,1976,1,3789000,2425346,64.0,2265849,59.8,159497,6.6
19,Iowa,1976,1,2066000,1329798,64.4,1272281,61.6,57517,4.3
20,Kansas,1976,1,1635000,1065059,65.1,1020396,62.4,44663,4.2
21,Kentucky,1976,1,2459000,1486550,60.5,1402625,57.0,83925,5.6
22,Louisiana,1976,1,2672000,1517348,56.8,1421440,53.2,95908,6.3
23,Maine,1976,1,764000,474371,62.1,433260,56.7,41111,8.7
24,Maryland,1976,1,2954000,1899337,64.3,1777055,60.2,122282,6.4
25,Massachusetts,1976,1,4194000,2717096,64.8,2432377,58.0,284719,10.5
26,Michigan,1976,1,6417000,3952851,61.6,3562759,55.5,390092,9.9
27,Minnesota,1976,1,2788000,1829382,65.6,1719817,61.7,109565,6.0
28,Mississippi,1976,1,1640000,963611,58.8,899280,54.8,64331,6.7
29,Missouri,1976,1,3464000,2094063,60.5,1969511,56.9,124552,5.9
30,Montana,1976,1,531000,332790,62.7,313402,59.0,19388,5.8
31,Nebraska,1976,1,1095000,711096,64.9,687431,62.8,23665,3.3
32,Nevada,1976,1,451000,321579,71.3,291933,64.7,29646,9.2
33,New Hampshire,1976,1,593000,390934,65.9,365509,61.6,25425,6.5
34,New Jersey,1976,1,5358000,3294120,61.5,2954259,55.1,339861,10.3
35,New Mexico,1976,1,792000,481330,60.8,439744,55.5,41586,8.6
36,New York,1976,1,13196000,7658970,58.0,6872159,52.1,786811,10.3
51000,New York city,1976,1,5694000,3066605,53.9,2723016,47.8,343589,11.2
37,North Carolina,1976,1,3898000,2590713,66.5,2424106,62.2,166607,6.4
38,North Dakota,1976,1,442000,276793,62.6,267268,60.5,9525,3.4
39,Ohio,1976,1,7701000,4754858,61.7,4368782,56.7,386076,8.1
40,Oklahoma,1976,1,1999000,1186198,59.3,1116824,55.9,69374,5.8
41,Oregon,1976,1,1716000,1078645,62.9,976450,56.9,102195,9.5
42,Pennsylvania,1976,1,8774000,5122733,58.4,4710510,53.7,412223,8.0
44,Rhode Island,1976,1,691000,440979,63.8,406706,58.9,34273,7.8
45,South Carolina,1976,1,1984000,1295867,65.3,1200437,60.5,95430,7.4
46,South Dakota,1976,1,477000,308031,64.6,297972,62.5,10059,3.3
47,Tennessee,1976,1,3078000,1834194,59.6,1723616,56.0,110578,6.0
48,Texas,1976,1,8818000,5623303,63.8,5294695,60.0,328608,5.8
49,Utah,1976,1,824000,517325,62.8,487063,59.1,30262,5.8
50,Vermont,1976,1,339000,215575,63.6,196968,58.1,18607,8.6
51,Virginia,1976,1,3534000,2330159,65.9,2187531,61.9,142628,6.1
53,Washington,1976,1,2598000,1583070,60.9,1448543,55.8,134527,8.5
54,West Virginia,1976,1,1352000,710144,52.5,657179,48.6,52965,7.5
55,Wisconsin,1976,1,3245000,2128893,65.6,2005997,61.8,122896,5.8
56,Wyoming,1976,1,270000,176214,65.3,169014,62.6,7200,4.1
1,Alabama,1976,2,2610000,1483950,56.9,1385675,53.1,98275,6.6
2,Alaska,1976,2,234000,160022,68.4,148718,63.6,11304,7.1
4,Arizona,1976,2,1626000,963394,59.2,865215,53.2,98179,10.2
5,Arkansas,1976,2,1538000,888771,57.8,824008,53.6,64763,7.3
6,California,1976,2,15657000,9768885,62.4,8871553,56.7,897332,9.2
37,Los Angeles County,1976,2,5283000,3381218,64.0,3081497,58.3,299721,8.9
8,Colorado,1976,2,1837000,1230680,67.0,1160001,63.1,70679,5.7
9,Connecticut,1976,2,2251000,1442118,64.1,1301107,57.8,141011,9.8
10,Delaware,1976,2,418000,261325,62.5,240545,57.5,20780,8.0
11,District of Columbia,1976,2,519000,334767,64.5,305759,58.9,29008,8.7
12,Florida,1976,2,6437000,3583970,55.7,3237372,50.3,346598,9.7
13,Georgia,1976,2,3528000,2243779,63.6,2055366,58.3,188413,8.4
15,Hawaii,1976,2,585000,407385,69.6,367403,62.8,39982,9.8
16,Idaho,1976,2,582000,365295,62.8,344916,59.3,20379,5.6
17,Illinois,1976,2,8136000,5122237,63.0,4785460,58.8,336777,6.6
18,Indiana,1976,2,3793000,2424387,63.9,2264552,59.7,159835,6.6
19,Iowa,1976,2,2069000,1329511,64.3,1271866,61.5,57645,4.3
20,Kansas,1976,2,1637000,1064471,65.0,1019842,62.3,44629,4.2
21,Kentucky,1976,2,2465000,1486110,60.3,1402206,56.9,83904,5.6
22,Louisiana,1976,2,2678000,1516595,56.6,1421064,53.1,95531,6.3
23,Maine,1976,2,766000,474272,61.9,433173,56.6,41099,8.7
24,Maryland,1976,2,2958000,1898511,64.2,1776509,60.1,122002,6.4
25,Massachusetts,1976,2,4198000,2716261,64.7,2431016,57.9,285245,10.5
26,Michigan,1976,2,6424000,3951549,61.5,3560591,55.4,390958,9.9
27,Minnesota,1976,2,2793000,1828517,65.5,1719004,61.5,109513,6.0
28,Mississippi,1976,2,1644000,963333,58.6,899114,54.7,64219,6.7
29,Missouri,1976,2,3469000,2092849,60.3,1968522,56.7,124327,5.9
30,Montana,1976,2,532000,332686,62.5,313365,58.9,19321,5.8
31,Nebraska,1976,2,1096000,710770,64.9,687121,62.7,23649,3.3
32,Nevada,1976,2,454000,321323,70.8,291651,64.2,29672,9.2
33,New Hampshire,1976,2,595000,390586,65.6,365177,61.4,25409,6.5
34,New Jersey,1976,2,5363000,3293155,61.4,2953668,55.1,339487,10.3
35,New Mexico,1976,2,795000,481103,60.5,439486,55.3,41617,8.7
36,New York,1976,2,13202000,7656709,58.0,6871169,52.0,785540,10.3
51000,New York city,1976,2,5692000,3065430,53.9,2722421,47.8,343009,11.2
37,North Carolina,1976,2,3905000,2589914,66.3,2422974,62.0,166940,6.4
38,North Dakota,1976,2,443000,276615,62.4,267143,60.3,9472,3.4
39,Ohio,1976,2,7706000,4754964,61.7,4368157,56.7,386807,8.1
40,Oklahoma,1976,2,2003000,1185846,59.2,1116531,55.7,69315,5.8
41,Oregon,1976,2,1720000,1077762,62.7,975742,56.7,102020,9.5
42,Pennsylvania,1976,2,8780000,5122163,58.3,4709350,53.6,412813,8.1
44,Rhode Island,1976,2,692000,440950,63.7,406719,58.8,34231,7.8
45,South Carolina,1976,2,1988000,1295652,65.2,1200235,60.4,95417,7.4
46,South Dakota,1976,2,478000,307916,64.4,297878,62.3,10038,3.3
47,Tennessee,1976,2,3084000,1832969,59.4,1722558,55.9,110411,6.0
48,Texas,1976,2,8844000,5619825,63.5,5291252,59.8,328573,5.8
49,Utah,1976,2,826000,516978,62.6,486695,58.9,30283,5.9
50,Vermont,1976,2,340000,215467,63.4,196846,57.9,18621,8.6
51,Virginia,1976,2,3543000,2329603,65.8,2187080,61.7,142523,6.1
53,Washington,1976,2,2604000,1581641,60.7,1447552,55.6,134089,8.5
54,West Virginia,1976,2,1355000,710252,52.4,657268,48.5,52984,7.5
55,Wisconsin,1976,2,3248000,2128026,65.5,2005096,61.7,122930,5.8
56,Wyoming,1976,2,271000,176014,64.9,168813,62.3,7201,4.1
1,Alabama,1976,3,2615000,1484241,56.8,1386793,53.0,97448,6.6
2,Alaska,1976,3,236000,160124,67.8,148935,63.1,11189,7.0
4,Arizona,1976,3,1631000,963556,59.1,865905,53.1,97651,10.1
5,Arkansas,1976,3,1539000,888557,57.7,823855,53.5,64702,7.3
6,California,1976,3,15694000,9768531,62.2,8875700,56.6,892831,9.1
37,Los Angeles County,1976,3,5292000,3381679,63.9,3083346,58.3,298333,8.8
8,Colorado,1976,3,1841000,1229907,66.8,1159916,63.0,69991,5.7
9,Connecticut,1976,3,2253000,1442585,64.0,1301919,57.8,140666,9.8
10,Delaware,1976,3,418000,261306,62.5,240523,57.5,20783,8.0
11,District of Columbia,1976,3,519000,334769,64.5,305939,58.9,28830,8.6
12,Florida,1976,3,6452000,3583894,55.5,3238803,50.2,345091,9.6
13,Georgia,1976,3,3534000,2244320,63.5,2056476,58.2,187844,8.4
15,Hawaii,1976,3,586000,407576,69.6,367608,62.7,39968,9.8
16,Idaho,1976,3,583000,365320,62.7,344962,59.2,20358,5.6
17,Illinois,1976,3,8146000,5123914,62.9,4787596,58.8,336318,6.6
18,Indiana,1976,3,3797000,2424005,63.8,2265615,59.7,158390,6.5
19,Iowa,1976,3,2072000,1329559,64.2,1272124,61.4,57435,4.3
20,Kansas,1976,3,1640000,1064641,64.9,1020044,62.2,44597,4.2
21,Kentucky,1976,3,2470000,1486259,60.2,1402586,56.8,83673,5.6
22,Louisiana,1976,3,2685000,1516489,56.5,1420882,52.9,95607,6.3
23,Maine,1976,3,767000,474440,61.9,433462,56.5,40978,8.6
24,Maryland,1976,3,2962000,1898022,64.1,1776482,60.0,121540,6.4
25,Massachusetts,1976,3,4201000,2715115,64.6,2430783,57.9,284332,10.5
26,Michigan,1976,3,6430000,3953694,61.5,3562811,55.4,390883,9.9
27,Minnesota,1976,3,2797000,1828605,65.4,1720108,61.5,108497,5.9
28,Mississippi,1976,3,1647000,963510,58.5,900093,54.7,63417,6.6
29,Missouri,1976,3,3473000,2093314,60.3,1969025,56.7,124289,5.9
30,Montana,1976,3,533000,332560,62.4,313352,58.8,19208,5.8
31,Nebraska,1976,3,1097000,710627,64.8,687236,62.6,23391,3.3
32,Nevada,1976,3,456000,321400,70.5,291820,64.0,29580,9.2
33,New Hampshire,1976,3,596000,390816,65.6,365391,61.3,25425,6.5
34,New Jersey,1976,3,5367000,3294615,61.4,2955302,55.1,339313,10.3
35,New Mexico,1976,3,798000,481308,60.3,439624,55.1,41684,8.7
36,New York,1976,3,13207000,7657019,58.0,6874360,52.1,782659,10.2
51000,New York city,1976,3,5690000,3064867,53.9,2722931,47.9,341936,11.2
37,North Carolina,1976,3,3912000,2591051,66.2,2424774,62.0,166277,6.4
38,North Dakota,1976,3,444000,276633,62.3,267177,60.2,9456,3.4
39,Ohio,1976,3,7711000,4755734,61.7,4369756,56.7,385978,8.1
40,Oklahoma,1976,3,2007000,1185640,59.1,1116631,55.6,69009,5.8
41,Oregon,1976,3,1724000,1076843,62.5,975675,56.6,101168,9.4
42,Pennsylvania,1976,3,8786000,5123224,58.3,4708719,53.6,414505,8.1
44,Rhode Island,1976,3,693000,441054,63.6,406950,58.7,34104,7.7
45,South Carolina,1976,3,1992000,1295432,65.0,1200705,60.3,94727,7.3
46,South Dakota,1976,3,478000,307864,64.4,297968,62.3,9896,3.2
47,Tennessee,1976,3,3091000,1832485,59.3,1722558,55.7,109927,6.0
48,Texas,1976,3,8870000,5623418,63.4,5293477,59.7,329941,5.9
49,Utah,1976,3,828000,517186,62.5,486955,58.8,30231,5.8
50,Vermont,1976,3,341000,215624,63.2,196979,57.8,18645,8.6
51,Virginia,1976,3,3551000,2329408,65.6,2187833,61.6,141575,6.1
53,Washington,1976,3,2611000,1581050,60.6,1447484,55.4,133566,8.4
54,West Virginia,1976,3,1358000,710795,52.3,657702,48.4,53093,7.5
55,Wisconsin,1976,3,3252000,2127839,65.4,2005801,61.7,122038,5.7
56,Wyoming,1976,3,272000,176105,64.7,168932,62.1,7173,4.1
1,Alabama,1976,4,2620000,1487233,56.8,1390787,53.1,96446,6.5
2,Alaska,1976,4,237000,161033,67.9,149867,63.2,11166,6.9
4,Arizona,1976,4,1636000,966567,59.1,870141,53.2,96426,10.0
5,Arkansas,1976,4,1541000,888945,57.7,825015,53.5,63930,7.2
6,California,1976,4,15731000,9789023,62.2,8902662,56.6,886361,9.1
37,Los Angeles County,1976,4,5302000,3385126,63.8,3089190,58.3,295936,8.7
8,Colorado,1976,4,1846000,1229301,66.6,1160052,62.8,69249,5.6
9,Connecticut,1976,4,2255000,1446319,64.1,1307272,58.0,139047,9.6
10,Delaware,1976,4,419000,261570,62.4,240379,57.4,21191,8.1
11,District of Columbia,1976,4,518000,334217,64.5,305824,59.0,28393,8.5
12,Florida,1976,4,6468000,3586526,55.5,3246473,50.2,340053,9.5
13,Georgia,1976,4,3540000,2249492,63.5,2063590,58.3,185902,8.3
15,Hawaii,1976,4,588000,408192,69.4,368776,62.7,39416,9.7
16,Idaho,1976,4,585000,366582,62.7,346124,59.2,20458,5.6
17,Illinois,1976,4,8155000,5131695,62.9,4795335,58.8,336360,6.6
18,Indiana,1976,4,3801000,2426376,63.8,2273481,59.8,152895,6.3
19,Iowa,1976,4,2075000,1330950,64.1,1274556,61.4,56394,4.2
20,Kansas,1976,4,1642000,1067139,65.0,1022562,62.3,44577,4.2
21,Kentucky,1976,4,2475000,1488051,60.1,1404930,56.8,83121,5.6
22,Louisiana,1976,4,2692000,1519054,56.4,1422019,52.8,97035,6.4
23,Maine,1976,4,769000,475164,61.8,434471,56.5,40693,8.6
24,Maryland,1976,4,2966000,1900112,64.1,1778204,60.0,121908,6.4
25,Massachusetts,1976,4,4204000,2715481,64.6,2436049,57.9,279432,10.3
26,Michigan,1976,4,6436000,3963423,61.6,3576236,55.6,387187,9.8
27,Minnesota,1976,4,2802000,1832231,65.4,1726077,61.6,106154,5.8
28,Mississippi,1976,4,1650000,964902,58.5,903082,54.7,61820,6.4
29,Missouri,1976,4,3477000,2099444,60.4,1973947,56.8,125497,6.0
30,Montana,1976,4,534000,332503,62.3,313343,58.7,19160,5.8
31,Nebraska,1976,4,1098000,711432,64.8,688636,62.7,22796,3.2
32,Nevada,1976,4,458000,322625,70.4,293430,64.1,29195,9.0
33,New Hampshire,1976,4,598000,392772,65.7,367257,61.4,25515,6.5
34,New Jersey,1976,4,5372000,3301383,61.5,2961197,55.1,340186,10.3
35,New Mexico,1976,4,801000,482739,60.3,441037,55.1,41702,8.6
36,New York,1976,4,13213000,7664202,58.0,6884805,52.1,779397,10.2
51000,New York city,1976,4,5689000,3067313,53.9,2726299,47.9,341014,11.1
37,North Carolina,1976,4,3919000,2595746,66.2,2432742,62.1,163004,6.3
38,North Dakota,1976,4,444000,277360,62.5,267713,60.3,9647,3.5
39,Ohio,1976,4,7716000,4755492,61.6,4375662,56.7,379830,8.0
40,Oklahoma,1976,4,2011000,1186430,59.0,1118154,55.6,68276,5.8
41,Oregon,1976,4,1728000,1078204,62.4,978506,56.6,99698,9.2
42,Pennsylvania,1976,4,8792000,5126833,58.3,4710603,53.6,416230,8.1
44,Rhode Island,1976,4,693000,441240,63.7,407314,58.8,33926,7.7
45,South Carolina,1976,4,1996000,1295324,64.9,1202589,60.2,92735,7.2
46,South Dakota,1976,4,479000,308191,64.3,298513,62.3,9678,3.1
47,Tennessee,1976,4,3097000,1835764,59.3,1726382,55.7,109382,6.0
48,Texas,1976,4,8896000,5646313,63.5,5312877,59.7,333436,5.9
49,Utah,1976,4,830000,519054,62.5,489107,58.9,29947,5.8
50,Vermont,1976,4,341000,216413,63.5,197785,58.0,18628,8.6
51,Virginia,1976,4,3559000,2330733,65.5,2191295,61.6,139438,6.0
53,Washington,1976,4,2617000,1585515,60.6,1451387,55.5,134128,8.5
54,West Virginia,1976,4,1360000,711428,52.3,658257,48.4,53171,7.5
55,Wisconsin,1976,4,3256000,2130436,65.4,2011006,61.8,119430,5.6
56,Wyoming,1976,4,273000,177119,64.9,170037,62.3,7082,4.0
1,Alabama,1976,5,2626000,1491392,56.8,1395320,53.1,96072,6.4
2,Alaska,1976,5,239000,162338,67.9,151056,63.2,11282,6.9
4,Arizona,1976,5,1642000,971080,59.1,875687,53.3,95393,9.8
5,Arkansas,1976,5,1542000,889913,57.7,827062,53.6,62851,7.1
6,California,1976,5,15768000,9821255,62.3,8938559,56.7,882696,9.0
37,Los Angeles County,1976,5,5311000,3389808,63.8,3095552,58.3,294256,8.7
8,Colorado,1976,5,1850000,1229470,66.5,1160471,62.7,68999,5.6
9,Connecticut,1976,5,2257000,1451616,64.3,1314537,58.2,137079,9.4
10,Delaware,1976,5,420000,262016,62.4,240214,57.2,21802,8.3
11,District of Columbia,1976,5,518000,333396,64.4,305434,59.0,27962,8.4
12,Florida,1976,5,6483000,3591097,55.4,3256638,50.2,334459,9.3
13,Georgia,1976,5,3547000,2256660,63.6,2073036,58.4,183624,8.1
15,Hawaii,1976,5,590000,408933,69.3,370291,62.8,38642,9.4
16,Idaho,1976,5,587000,368506,62.8,347899,59.3,20607,5.6
17,Illinois,1976,5,8164000,5141790,63.0,4804374,58.8,337416,6.6
18,Indiana,1976,5,3806000,2431160,63.9,2284630,60.0,146530,6.0
19,Iowa,1976,5,2078000,1332994,64.1,1277930,61.5,55064,4.1
20,Kansas,1976,5,1644000,1070872,65.1,1026320,62.4,44552,4.2
21,Kentucky,1976,5,2480000,1490599,60.1,1408137,56.8,82462,5.5
22,Louisiana,1976,5,2699000,1523344,56.4,1424086,52.8,99258,6.5
23,Maine,1976,5,771000,476012,61.7,435612,56.5,40400,8.5
24,Maryland,1976,5,2971000,1904080,64.1,1781196,60.0,122884,6.5
25,Massachusetts,1976,5,4207000,2718111,64.6,2444886,58.1,273225,10.1
26,Michigan,1976,5,6442000,3975642,61.7,3594264,55.8,381378,9.6
27,Minnesota,1976,5,2806000,1837908,65.5,1733886,61.8,104022,5.7
28,Mississippi,1976,5,1653000,966754,58.5,906282,54.8,60472,6.3
29,Missouri,1976,5,3481000,2108332,60.6,1981037,56.9,127295,6.0
30,Montana,1976,5,535000,332602,62.2,313383,58.6,19219,5.8
31,Nebraska,1976,5,1100000,712943,64.8,690704,62.8,22239,3.1
32,Nevada,1976,5,460000,324425,70.5,295681,64.3,28744,8.9
33,New Hampshire,1976,5,599000,395493,66.0,369866,61.7,25627,6.5
34,New Jersey,1976,5,5376000,3309870,61.6,2968185,55.2,341685,10.3
35,New Mexico,1976,5,804000,484676,60.3,443026,55.1,41650,8.6
36,New York,1976,5,13219000,7675792,58.1,6896958,52.2,778834,10.1
51000,New York city,1976,5,5687000,3071973,54.0,2730681,48.0,341292,11.1
37,North Carolina,1976,5,3926000,2601868,66.3,2442874,62.2,158994,6.1
38,North Dakota,1976,5,445000,278481,62.6,268524,60.3,9957,3.6
39,Ohio,1976,5,7721000,4754562,61.6,4382938,56.8,371624,7.8
40,Oklahoma,1976,5,2015000,1187895,59.0,1120284,55.6,67611,5.7
41,Oregon,1976,5,1732000,1081658,62.5,983065,56.8,98593,9.1
42,Pennsylvania,1976,5,8798000,5130966,58.3,4715133,53.6,415833,8.1
44,Rhode Island,1976,5,694000,441388,63.6,407576,58.7,33812,7.7
45,South Carolina,1976,5,2001000,1295580,64.7,1204846,60.2,90734,7.0
46,South Dakota,1976,5,480000,308798,64.3,299264,62.3,9534,3.1
47,Tennessee,1976,5,3103000,1841933,59.4,1732735,55.8,109198,5.9
48,Texas,1976,5,8922000,5676963,63.6,5339976,59.9,336987,5.9
49,Utah,1976,5,833000,521698,62.6,492102,59.1,29596,5.7
50,Vermont,1976,5,342000,217411,63.6,198845,58.1,18566,8.5
51,Virginia,1976,5,3567000,2333352,65.4,2195739,61.6,137613,5.9
53,Washington,1976,5,2623000,1593274,60.7,1457626,55.6,135648,8.5
54,West Virginia,1976,5,1363000,711509,52.2,658512,48.3,52997,7.4
55,Wisconsin,1976,5,3260000,2134954,65.5,2018302,61.9,116652,5.5
56,Wyoming,1976,5,274000,178560,65.2,171583,62.6,6977,3.9
1,Alabama,1976,6,2631000,1496160,56.9,1399430,53.2,96730,6.5
2,Alaska,1976,6,240000,163908,68.3,152324,63.5,11584,7.1
4,Arizona,1976,6,1647000,976461,59.3,881602,53.5,94859,9.7
5,Arkansas,1976,6,1544000,891434,57.7,829833,53.7,61601,6.9
6,California,1976,6,15804000,9861887,62.4,8977255,56.8,884632,9.0
37,Los Angeles County,1976,6,5321000,3394977,63.8,3100801,58.3,294176,8.7
8,Colorado,1976,6,1855000,1231223,66.4,1161704,62.6,69519,5.6
9,Connecticut,1976,6,2259000,1457006,64.5,1322011,58.5,134995,9.3
10,Delaware,1976,6,420000,262640,62.5,240155,57.2,22485,8.6
11,District of Columbia,1976,6,517000,332440,64.3,304715,58.9,27725,8.3
12,Florida,1976,6,6499000,3597210,55.4,3267451,50.3,329759,9.2
13,Georgia,1976,6,3553000,2265027,63.7,2083290,58.6,181737,8.0
15,Hawaii,1976,6,591000,409662,69.3,371836,62.9,37826,9.2
16,Idaho,1976,6,588000,370833,63.1,350070,59.5,20763,5.6
17,Illinois,1976,6,8174000,5151113,63.0,4812220,58.9,338893,6.6
18,Indiana,1976,6,3810000,2438240,64.0,2296745,60.3,141495,5.8
19,Iowa,1976,6,2081000,1335252,64.2,1281456,61.6,53796,4.0
20,Kansas,1976,6,1647000,1075261,65.3,1030858,62.6,44403,4.1
21,Kentucky,1976,6,2485000,1493134,60.1,1411443,56.8,81691,5.5
22,Louisiana,1976,6,2705000,1528892,56.5,1427096,52.8,101796,6.7
23,Maine,1976,6,772000,476725,61.8,436500,56.5,40225,8.4
24,Maryland,1976,6,2975000,1909635,64.2,1785402,60.0,124233,6.5
25,Massachusetts,1976,6,4210000,2723768,64.7,2456971,58.4,266797,9.8
26,Michigan,1976,6,6448000,3987683,61.8,3613034,56.0,374649,9.4
27,Minnesota,1976,6,2811000,1845509,65.7,1742473,62.0,103036,5.6
28,Mississippi,1976,6,1656000,968797,58.5,908939,54.9,59858,6.2
29,Missouri,1976,6,3485000,2118778,60.8,1989320,57.1,129458,6.1
30,Montana,1976,6,536000,333040,62.1,313675,58.5,19365,5.8
31,Nebraska,1976,6,1101000,715081,64.9,693197,63.0,21884,3.1
32,Nevada,1976,6,462000,326591,70.7,298204,64.5,28387,8.7
33,New Hampshire,1976,6,601000,398473,66.3,372765,62.0,25708,6.5
34,New Jersey,1976,6,5381000,3318612,61.7,2975187,55.3,343425,10.3
35,New Mexico,1976,6,807000,487022,60.3,445278,55.2,41744,8.6
36,New York,1976,6,13224000,7688483,58.1,6907840,52.2,780643,10.2
51000,New York city,1976,6,5685000,3077212,54.1,2735049,48.1,342163,11.1
37,North Carolina,1976,6,3933000,2608026,66.3,2452391,62.4,155635,6.0
38,North Dakota,1976,6,446000,279841,62.7,269504,60.4,10337,3.7
39,Ohio,1976,6,7726000,4753211,61.5,4389731,56.8,363480,7.6
40,Oklahoma,1976,6,2019000,1189831,58.9,1122849,55.6,66982,5.6
41,Oregon,1976,6,1736000,1087580,62.6,989181,57.0,98399,9.0
42,Pennsylvania,1976,6,8804000,5135162,58.3,4722519,53.6,412643,8.0
44,Rhode Island,1976,6,695000,441442,63.5,407522,58.6,33920,7.7
45,South Carolina,1976,6,2005000,1296350,64.7,1207151,60.2,89199,6.9
46,South Dakota,1976,6,480000,309715,64.5,300120,62.5,9595,3.1
47,Tennessee,1976,6,3110000,1850737,59.5,1740968,56.0,109769,5.9
48,Texas,1976,6,8948000,5708574,63.8,5369891,60.0,338683,5.9
49,Utah,1976,6,835000,524656,62.8,495414,59.3,29242,5.6
50,Vermont,1976,6,342000,218340,63.8,199914,58.5,18426,8.4
51,Virginia,1976,6,3575000,2337293,65.4,2200717,61.6,136576,5.8
53,Washington,1976,6,2630000,1604380,61.0,1466236,55.8,138144,8.6
54,West Virginia,1976,6,1366000,710644,52.0,658327,48.2,52317,7.4
55,Wisconsin,1976,6,3263000,2141170,65.6,2026605,62.1,114565,5.4
56,Wyoming,1976,6,275000,180143,65.5,173267,63.0,6876,3.8
1,Alabama,1976,7,2636000,1500730,56.9,1402364,53.2,98366,6.6
2,Alaska,1976,7,242000,165368,68.3,153282,63.3,12086,7.3
4,Arizona,1976,7,1652000,981975,59.4,887162,53.7,94813,9.7
5,Arkansas,1976,7,1545000,893053,57.8,832622,53.9,60431,6.8
6,California,1976,7,15841000,9903604,62.5,9010377,56.9,893227,9.0
37,Los Angeles County,1976,7,5330000,3399094,63.8,3103079,58.2,296015,8.7
8,Colorado,1976,7,1859000,1234684,66.4,1163541,62.6,71143,5.8
9,Connecticut,1976,7,2261000,1460635,64.6,1327624,58.7,133011,9.1
10,Delaware,1976,7,421000,263315,62.5,240211,57.1,23104,8.8
11,District of Columbia,1976,7,517000,331507,64.1,303684,58.7,27823,8.4
12,Florida,1976,7,6514000,3602782,55.3,3275577,50.3,327205,9.1
13,Georgia,1976,7,3559000,2273239,63.9,2092242,58.8,180997,8.0
15,Hawaii,1976,7,593000,410102,69.2,373058,62.9,37044,9.0
16,Idaho,1976,7,590000,373107,63.2,352181,59.7,20926,5.6
17,Illinois,1976,7,8183000,5156594,63.0,4816599,58.9,339995,6.6
18,Indiana,1976,7,3814000,2445243,64.1,2306108,60.5,139135,5.7
19,Iowa,1976,7,2084000,1337276,64.2,1284353,61.6,52923,4.0
20,Kansas,1976,7,1649000,1079247,65.4,1035054,62.8,44193,4.1
21,Kentucky,1976,7,2490000,1494780,60.0,1413722,56.8,81058,5.4
22,Louisiana,1976,7,2712000,1534267,56.6,1430273,52.7,103994,6.8
23,Maine,1976,7,774000,477095,61.6,436790,56.4,40305,8.4
24,Maryland,1976,7,2979000,1915202,64.3,1789408,60.1,125794,6.6
25,Massachusetts,1976,7,4213000,2730674,64.8,2469470,58.6,261204,9.6
26,Michigan,1976,7,6454000,3996327,61.9,3627749,56.2,368578,9.2
27,Minnesota,1976,7,2815000,1853413,65.8,1749799,62.2,103614,5.6
28,Mississippi,1976,7,1659000,970764,58.5,910473,54.9,60291,6.2
29,Missouri,1976,7,3489000,2128622,61.0,1996806,57.2,131816,6.2
30,Montana,1976,7,537000,333822,62.2,314232,58.5,19590,5.9
31,Nebraska,1976,7,1102000,717323,65.1,695483,63.1,21840,3.0
32,Nevada,1976,7,464000,328735,70.8,300492,64.8,28243,8.6
33,New Hampshire,1976,7,602000,401028,66.6,375302,62.3,25726,6.4
34,New Jersey,1976,7,5385000,3325758,61.8,2980510,55.3,345248,10.4
35,New Mexico,1976,7,810000,489256,60.4,447267,55.2,41989,8.6
36,New York,1976,7,13230000,7696362,58.2,6912373,52.2,783989,10.2
51000,New York city,1976,7,5683000,3081073,54.2,2737981,48.2,343092,11.1
37,North Carolina,1976,7,3940000,2612384,66.3,2458363,62.4,154021,5.9
38,North Dakota,1976,7,447000,281143,62.9,270419,60.5,10724,3.8
39,Ohio,1976,7,7731000,4750580,61.4,4392879,56.8,357701,7.5
40,Oklahoma,1976,7,2023000,1191650,58.9,1125315,55.6,66335,5.6
41,Oregon,1976,7,1740000,1094956,62.9,995571,57.2,99385,9.1
42,Pennsylvania,1976,7,8810000,5138310,58.3,4729977,53.7,408333,7.9
44,Rhode Island,1976,7,696000,441304,63.4,406937,58.5,34367,7.8
45,South Carolina,1976,7,2009000,1297400,64.6,1208997,60.2,88403,6.8
46,South Dakota,1976,7,481000,310718,64.6,300829,62.5,9889,3.2
47,Tennessee,1976,7,3116000,1860137,59.7,1748920,56.1,111217,6.0
