unit,time,age,asfr,treat
East Germany,1959,44,0.00301,0
East Germany,1959,45,0.00148,0
East Germany,1959,46,0.00066,0
East Germany,1959,47,0.00034,0
East Germany,1959,48,0.00017,0
East Germany,1959,49,9e-05,0
East Germany,1959,50,4e-05,0
East Germany,1959,51,2e-05,0
East Germany,1959,52,1e-05,0
East Germany,1959,53,1e-05,0
East Germany,1959,54,0.0,0
East Germany,1959,55,0.0,0
East Germany,1960,12,0.0,0
East Germany,1960,13,0.0,0
East Germany,1960,14,0.0001,0
East Germany,1960,15,0.00247,0
East Germany,1960,16,0.00998,0
East Germany,1960,17,0.03526,0
East Germany,1960,18,0.0818,0
East Germany,1960,19,0.12744,0
East Germany,1960,20,0.15761,0
East Germany,1960,21,0.1707,0
East Germany,1960,22,0.17617,0
East Germany,1960,23,0.1747,0
East Germany,1960,24,0.16624,0
East Germany,1960,25,0.15677,0
East Germany,1960,26,0.14691,0
East Germany,1960,27,0.13376,0
East Germany,1960,28,0.11973,0
East Germany,1960,29,0.10633,0
East Germany,1960,30,0.0926,0
East Germany,1960,31,0.0821,0
East Germany,1960,32,0.072,0
East Germany,1960,33,0.06224,0
East Germany,1960,34,0.05385,0
East Germany,1960,35,0.04682,0
East Germany,1960,36,0.0411,0
East Germany,1960,37,0.03422,0
East Germany,1960,38,0.02745,0
East Germany,1960,39,0.02152,0
East Germany,1960,40,0.01736,0
East Germany,1960,41,0.01301,0
East Germany,1960,42,0.00825,0
East Germany,1960,43,0.00501,0
East Germany,1960,44,0.00271,0
East Germany,1960,45,0.00126,0
East Germany,1960,46,0.00059,0
East Germany,1960,47,0.00031,0
East Germany,1960,48,0.00016,0
East Germany,1960,49,8e-05,0
East Germany,1960,50,4e-05,0
East Germany,1960,51,2e-05,0
East Germany,1960,52,1e-05,0
East Germany,1960,53,1e-05,0
East Germany,1960,54,0.0,0
East Germany,1960,55,0.0,0
East Germany,1961,12,0.0,0
East Germany,1961,13,0.0,0
East Germany,1961,14,0.00012,0
East Germany,1961,15,0.00326,0
East Germany,1961,16,0.01274,0
East Germany,1961,17,0.03914,0
East Germany,1961,18,0.08517,0
East Germany,1961,19,0.13667,0
East Germany,1961,20,0.16865,0
East Germany,1961,21,0.18221,0
East Germany,1961,22,0.18488,0
East Germany,1961,23,0.18213,0
East Germany,1961,24,0.17192,0
East Germany,1961,25,0.16131,0
East Germany,1961,26,0.14816,0
East Germany,1961,27,0.13284,0
East Germany,1961,28,0.12048,0
East Germany,1961,29,0.10851,0
East Germany,1961,30,0.09465,0
East Germany,1961,31,0.08251,0
East Germany,1961,32,0.07215,0
East Germany,1961,33,0.06256,0
East Germany,1961,34,0.05497,0
East Germany,1961,35,0.04703,0
East Germany,1961,36,0.04002,0
East Germany,1961,37,0.03405,0
East Germany,1961,38,0.02812,0
East Germany,1961,39,0.02214,0
East Germany,1961,40,0.01641,0
East Germany,1961,41,0.01238,0
East Germany,1961,42,0.00894,0
East Germany,1961,43,0.00496,0
East Germany,1961,44,0.00262,0
East Germany,1961,45,0.00119,0
