unit,time,y,treat
Israel,2011-03,7.75193798,0
Italy,2011-03,4.74537037,0
Japan,2011-03,1.23583934,0
Jordan,2011-03,13.77927147,0
Kazakhstan,2011-03,27.1,0
Kuwait,2011-03,5.03063987,0
Kyrgyzstan,2011-03,20.81774843,0
Latvia,2011-03,8.6,0
Lithuania,2011-03,15.2,0
Luxembourg,2011-03,11.56201349,0
Malaysia,2011-03,9.21843687,0
Malta,2011-03,3.89428371,0
Mexico,2011-03,4.16542337,0
Moldova,2011-03,4.80916031,0
Mongolia,2011-03,6.8,0
Montenegro,2011-03,5.6,0
Morocco,2011-03,15.14264813,0
Netherlands,2011-03,13.81780962,0
North Macedonia,2011-03,16.34538864,0
Norway,2011-03,21.43974961,0
Pakistan,2011-03,24.26790167,0
Paraguay,2011-03,17.38887336,0
Philippines,2011-03,-0.63846768,0
Poland,2011-03,9.5,0
Portugal,2011-03,6.28187297,0
Romania,2011-03,8.39325018,0
Serbia,2011-03,17.08431638,0
Singapore,2011-03,5.62328962,0
Slovakia,2011-03,5.93406594,0
Slovenia,2011-03,6.01067533,0
South Korea,2011-03,8.22483328,0
Spain,2011-03,8.05537513,0
Sweden,2011-03,2.75330396,0
Switzerland,2011-03,-0.12463426,0
Thailand,2011-03,5.8408862,0
Tunisia,2011-03,5.21472393,0
Ukraine,2011-03,20.3,0
United Kingdom,2011-03,7.85791173,0
United States,2011-03,3.95256917,0
China,2011-04,6.821,0
Armenia,2011-04,8.7547948,0
Belgium,2011-04,11.34846462,0
Bosnia and Herzegovina,2011-04,4.1,0
Bulgaria,2011-04,13.15900211,0
Canada,2011-04,8.16568047,0
Chile,2011-04,15.008,0
Colombia,2011-04,8.18529346,0
Croatia,2011-04,8.1,0
Cyprus,2011-04,4.3956044,0
Czech Republic,2011-04,6.30914826,0
Denmark,2011-04,10.38798498,0
Ecuador,2011-04,4.5630519,0
Egypt,2011-04,20.41062802,0
Estonia,2011-04,5.23867314,0
European Union,2011-04,6.08187135,0
Finland,2011-04,7.83316378,0
France,2011-04,5.26315789,0
Georgia,2011-04,15.8626,0
Germany,2011-04,6.19785459,0
Ghana,2011-04,24.28998898,0
Greece,2011-04,8.16478674,0
Hungary,2011-04,4.9,0
Iceland,2011-04,5.969378,0
India,2011-04,9.74025974,0
Ireland,2011-04,-1.09018831,0
Israel,2011-04,7.31914893,0
Italy,2011-04,4.82758621,0
Japan,2011-04,1.74537988,0
Jordan,2011-04,13.98452095,0
Kazakhstan,2011-04,29.3,0
Kuwait,2011-04,5.17252363,0
Kyrgyzstan,2011-04,27.29772292,0
Latvia,2011-04,8.6,0
Lithuania,2011-04,14.6,0
Luxembourg,2011-04,10.75717484,0
Malaysia,2011-04,10.44176707,0
Malta,2011-04,2.99738483,0
Mexico,2011-04,4.9161295,0
Moldova,2011-04,5.50038197,0
Mongolia,2011-04,8.4,0
Montenegro,2011-04,4.7,0
Morocco,2011-04,15.1734104,0
Netherlands,2011-04,12.5,0
North Macedonia,2011-04,13.54242347,0
Norway,2011-04,19.93957704,0
Pakistan,2011-04,24.8794465,0
Paraguay,2011-04,15.69767442,0
Philippines,2011-04,1.97206245,0
Poland,2011-04,8.8,0
Portugal,2011-04,6.51973229,0
Romania,2011-04,7.81773184,0
Serbia,2011-04,18.4605384,0
Singapore,2011-04,5.56644302,0
Slovakia,2011-04,6.10021787,0
Slovenia,2011-04,5.70605187,0
South Korea,2011-04,8.10214376,0
Spain,2011-04,7.29179767,0
Sweden,2011-04,2.75633958,0
Switzerland,2011-04,-0.52023909,0
Thailand,2011-04,6.6,0
Tunisia,2011-04,5.77507599,0
Ukraine,2011-04,20.8,0
United Kingdom,2011-04,7.65957447,0
United States,2011-04,4.23228346,0
China,2011-05,6.7851,0
Armenia,2011-05,9.06580668,0
Belgium,2011-05,9.8013245,0
Bosnia and Herzegovina,2011-05,3.1,0
Bulgaria,2011-05,8.90863791,0
Canada,2011-05,7.31132075,0
Chile,2011-05,17.96549673,0
Colombia,2011-05,8.57047577,0
Croatia,2011-05,7.3,0
Cyprus,2011-05,3.99568035,0
Czech Republic,2011-05,6.15866388,0
Denmark,2011-05,10.58530511,0
Ecuador,2011-05,6.14169489,0
Egypt,2011-05,20.04920049,0
Estonia,2011-05,4.7995992,0
European Union,2011-05,5.46511628,0
Finland,2011-05,6.62650602,0
France,2011-05,5.03432494,0
Georgia,2011-05,13.3439,0
Germany,2011-05,5.69395018,0
Ghana,2011-05,23.20149486,0
Greece,2011-05,7.3407403,0
Hungary,2011-05,1.2,0
Iceland,2011-05,6.345202,0
India,2011-05,9.56146657,0
Ireland,2011-05,0.1984127,0
Israel,2011-05,7.62711864,0
Italy,2011-05,4.22374429,0
Japan,2011-05,1.54004107,0
Jordan,2011-05,16.18375303,0
Kazakhstan,2011-05,29.8,0
Kuwait,2011-05,2.97136736,0
Kyrgyzstan,2011-05,27.06177944,0
Latvia,2011-05,7.7,0
Lithuania,2011-05,13.9,0
Luxembourg,2011-05,7.44744149,0
Malaysia,2011-05,11.53846154,0
Malta,2011-05,3.58146067,0
Mexico,2011-05,4.52165399,0
Moldova,2011-05,6.89127106,0
Mongolia,2011-05,7.2,0
Montenegro,2011-05,1.9,0
Morocco,2011-05,14.05135521,0
Netherlands,2011-05,11.03379722,0
North Macedonia,2011-05,8.52621665,0
Norway,2011-05,17.90591806,0
Pakistan,2011-05,22.27596214,0
Paraguay,2011-05,16.00333983,0
Philippines,2011-05,1.80772391,0
Poland,2011-05,6.3,0
Portugal,2011-05,6.35085293,0
Romania,2011-05,6.84872128,0
Serbia,2011-05,16.96974284,0
Singapore,2011-05,4.13124036,0
Slovakia,2011-05,5.17799352,0
Slovenia,2011-05,4.22262691,0
South Korea,2011-05,7.52396832,0
Spain,2011-05,6.72150883,0
Sweden,2011-05,1.9845645,0
Switzerland,2011-05,-1.05342053,0
Thailand,2011-05,6.2248996,0
Tunisia,2011-05,3.87288977,0
Ukraine,2011-05,18.8,0
United Kingdom,2011-05,7.43099788,0
United States,2011-05,4.22396857,0
China,2011-06,7.1209,0
Armenia,2011-06,11.39449362,0
Belgium,2011-06,9.2348285,0
Bosnia and Herzegovina,2011-06,4.0,0
Bulgaria,2011-06,8.66701415,0
Canada,2011-06,8.0760095,0
Chile,2011-06,21.91899878,0
Colombia,2011-06,8.56434528,0
Croatia,2011-06,6.8,0
Cyprus,2011-06,4.42286947,0
Czech Republic,2011-06,5.39979232,0
Denmark,2011-06,10.94339623,0
Ecuador,2011-06,5.28585713,0
Egypt,2011-06,19.41031941,0
Estonia,2011-06,5.43794522,0
European Union,2011-06,4.86111111,0
Finland,2011-06,5.79420579,0
France,2011-06,4.56100342,0
Georgia,2011-06,12.6074,0
Germany,2011-06,5.18867925,0
Ghana,2011-06,12.06207383,0
Greece,2011-06,6.6446522,0
Hungary,2011-06,-1.0,0
Iceland,2011-06,13.04238,0
India,2011-06,9.51359084,0
Ireland,2011-06,-0.19920319,0
Israel,2011-06,8.72947277,0
Italy,2011-06,4.33295325,0
Japan,2011-06,1.85375901,0
Jordan,2011-06,13.71049137,0
Kazakhstan,2011-06,32.9,0
Kuwait,2011-06,2.50271498,0
Kyrgyzstan,2011-06,22.97583227,0
Latvia,2011-06,7.3,0
Lithuania,2011-06,12.0,0
Luxembourg,2011-06,4.58866899,0
Malaysia,2011-06,11.29032258,0
