country,country_code,year,fdi,treated,log_gdp,log_gdp_percap,import_to_gdp,export_to_gdp,inflation_gdp_deflator,gross_capital_forma_gdp,unemployment,employment_15,log_population
Australia,AUS,1995,3.60404663129621,0,27.285387583997224,10.579234082688659,19.8333756851926,17.870669522392,47.6264389620743,25.9939578014141,8.473,58.167,16.706153501308563
Australia,AUS,1996,1.13717323478277,0,27.323299116890443,10.60500706574966,19.3429104541098,18.8901429006237,48.9177809446216,24.7885981976259,8.509,58.124,16.718292051140782
Australia,AUS,1997,1.85658353264166,0,27.361684764473797,10.632572314137052,18.8533498603289,19.127482417612,49.5404295613078,24.8558828020443,8.367,57.846,16.729112450336746
Australia,AUS,1998,1.90095000193573,0,27.407262647454168,10.668182849939408,20.4351367863689,19.5575656778223,50.1030137144713,25.6440499626638,7.684,58.171,16.73907979751476
Australia,AUS,1999,0.567408043229212,0,27.456316086196836,10.706296530652653,20.7350512297224,18.2947441891133,50.341203949206,26.1458941440029,6.876,58.451,16.75001955554418
Australia,AUS,2000,3.57859921888914,0,27.49478187821224,10.733317594153286,21.5449829026037,19.3902280759468,51.6252825011705,26.2504640290701,6.288,59.178,16.761464284058956
Australia,AUS,2001,2.82305214676613,0,27.51483082139977,10.74052685642808,22.0663780990158,22.1523263999819,54.0159038742595,23.3930636328424,6.747,59.037,16.77430396497169
Australia,AUS,2002,3.70306730541189,0,27.553855686104818,10.76817633377118,20.7224309468224,20.7266612553969,55.5501213157323,24.4074263067027,6.375,59.336,16.785679352333634
Australia,AUS,2003,1.92099536209977,0,27.584294559044846,10.787113279379293,21.1443541839952,19.0572127285496,57.2086367013505,25.9369848139976,5.933,59.829,16.797181279665555
Australia,AUS,2004,6.98071685334312,0,27.62566988902762,10.81779662814149,19.8471453750713,17.1624682179729,59.0577701836822,27.0636473789158,5.399,60.043,16.80787326088613
Australia,AUS,2005,-3.60692792508377,0,27.656724070270595,10.836677902079224,20.9363741866049,18.224372786193,61.3170305723149,27.4568260355592,5.036,61.164,16.82004616819137
Australia,AUS,2006,4.08209296205439,0,27.683904300735588,10.850363624234332,21.7059079518,19.8535392187758,64.4536350499949,27.5048144980167,4.785,61.677,16.833540676501258
Australia,AUS,2007,5.19771793687634,0,27.72094372006835,10.869153075614165,21.8245161029657,20.1835039296691,67.6672803609342,27.5019903160907,4.381,62.344,16.851790644454184
Australia,AUS,2008,4.2770159784301,0,27.756177920511725,10.884348162005116,22.6978990852209,20.1488773165122,70.7595547944178,28.6033151100897,4.242,62.713,16.87182975850661
Australia,AUS,2009,3.11521892910031,0,27.774926792887296,10.882488702752962,22.7298779728897,23.0109850559796,74.261558912216,27.3643396718515,5.565,61.804,16.892438090134338
Australia,AUS,2010,3.09469944763869,0,27.79694791904284,10.888952766288089,20.715266475056,19.7953665378444,75.1169472267541,26.779828899685,5.214,62.002,16.907995152754747
Australia,AUS,2011,4.68851108351557,0,27.820752056861796,10.898861630950869,20.4015645849472,21.4357865324171,79.7757743640267,26.4591502772704,5.083,62.116,16.921890425910927
Australia,AUS,2012,3.71991676188702,0,27.859187939283142,10.919839313365477,21.6576317984718,21.4913928888391,81.215857972412,27.7109268602101,5.225,61.762,16.939348625917663
Australia,AUS,2013,3.45353676863069,0,27.88491609792092,10.928355957603369,21.2760781686499,19.9741128950954,81.082841413165,27.8666879140392,5.663,61.283,16.956560140317556
Australia,AUS,2014,4.30373251830494,0,27.910655976881603,10.939180171672769,21.3606968828433,21.0823313194078,82.2219686561495,26.7170304339265,6.078,60.785,16.97147580520884
Australia,AUS,2015,3.46899584699556,0,27.93243518037875,10.94656720864392,21.5361539403705,20.0581264737037,81.7097905421342,26.2580990230395,6.055,61.07,16.98586797173483
