"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"
5.06955671310425	6.37605047225952	6.32870626449585	5.42897033691406	5.91910552978516	5.75820922851562	5.41297817230225	5.40723943710327	6.44254112243652	7.24693012237549	5.94376420974731	6.40632724761963	5.00461339950562	4.66796922683716	5.49511051177979	5.4614725112915	5.07184219360352	5.58698606491089	5.40760898590088	6.05567073822021	4.57660627365112	6.47554016113281	4.83605527877808	5.84502935409546	4.93375492095947	6.43232393264771	5.86595773696899	4.44908905029297	5.27729225158691	5.8821873664856	4.00928497314453	5.18713426589966	5.23071956634521	5.66065216064453	6.22984266281128	3.59396839141846	5.69468975067139	5.88192415237427	5.3575553894043	5.43440818786621	6.1379451751709	4.75079107284546	6.37185430526733	5.74251127243042	4.26330947875977	4.24338626861572	5.60685634613037	5.40028095245361	4.80590915679932	5.39226007461548	4.89772462844849
5.10798025131226	6.29359006881714	6.17453908920288	5.33297252655029	5.83426475524902	5.73039865493774	5.33807277679443	5.61588764190674	6.29853963851929	7.24682521820068	6.12058687210083	6.27353954315186	4.75628852844238	4.52556037902832	5.60331296920776	5.37822437286377	4.66381597518921	5.55696725845337	5.31874513626099	5.87805891036987	4.29061412811279	6.34743976593018	4.91639137268066	5.92718887329102	4.82939577102661	6.44356298446655	5.83541059494019	4.421471118927	5.12762832641602	5.95061159133911	3.98562383651733	5.10550928115845	4.90601491928101	5.92096138000488	6.2636547088623	3.87337279319763	5.62108325958252	5.91223096847534	5.1573429107666	5.35859346389771	6.06174755096436	4.82699394226074	6.2815055847168	5.680832862854	4.18090200424194	3.96450114250183	5.67038536071777	5.38548612594604	4.68065309524536	5.5186185836792	4.78453779220581
5.28224563598633	6.13290786743164	5.61863231658936	5.0890588760376	5.78893375396729	5.57859516143799	4.90696859359741	5.63353157043457	6.1673698425293	6.82186555862427	5.99633502960205	6.20938491821289	4.39134407043457	4.34910440444946	5.60726976394653	5.12894153594971	4.74873399734497	5.32795333862305	4.97008514404297	5.67837285995483	4.09680318832397	6.16727542877197	4.75053644180298	5.90374183654785	4.60600519180298	6.33982419967651	5.71698760986328	4.43151998519897	4.88430452346802	5.71403408050537	3.58919095993042	4.9704270362854	4.84982919692993	5.83532428741455	6.06903743743896	3.80054211616516	5.54416608810425	5.69395160675049	4.87073612213135	5.39302206039429	5.70628213882446	4.59839820861816	5.92180871963501	5.44648265838623	3.65735220909119	3.61851334571838	5.33821392059326	5.26021671295166	4.40788650512695	5.33302211761475	4.58691120147705
5.14993000030518	5.99098205566406	5.17778921127319	4.84973287582397	5.55426359176636	5.3831148147583	4.80959701538086	5.6406626701355	6.07348775863647	7.00791454315186	5.94449853897095	6.1824517250061	3.95797061920166	3.5899395942688	5.61074495315552	4.99900436401367	4.46063184738159	5.21529769897461	4.96512365341187	5.68596601486206	3.55817794799805	5.97692537307739	4.6608738899231	5.86594295501709	4.57361316680908	6.36778736114502	5.7394118309021	3.99859142303467	4.50719213485718	5.36606454849243	3.46076464653015	4.91355848312378	4.51679182052612	5.55573987960815	5.98675632476807	3.49319696426392	5.48518943786621	5.40623140335083	4.5808424949646	5.46694660186768	5.86360168457031	4.36905956268311	5.87342262268066	5.3285870552063	3.42147946357727	3.06117796897888	5.32936668395996	4.97705364227295	4.37003517150879	5.31567001342773	3.90765428543091
4.66731691360474	6.07590913772583	5.18553400039673	4.80718040466309	5.65120077133179	5.140869140625	4.81237983703613	5.57588481903076	6.12264347076416	7.28533697128296	5.72324562072754	6.28249168395996	3.81647443771362	2.94755172729492	5.73370409011841	5.21720600128174	4.66677236557007	5.31572866439819	4.8978066444397	5.65079641342163	3.06337857246399	5.98478364944458	4.71680641174316	5.72300815582275	4.41947793960571	6.37528514862061	5.87942457199097	3.25922918319702	4.81393337249756	5.26854467391968	2.82488870620728	4.7392110824585	4.41806554794312	5.35836982727051	5.97789859771729	3.20612621307373	5.79254055023193	5.27229976654053	4.52105140686035	5.42667818069458	5.90873432159424	3.72695589065552	5.83231735229492	5.29936122894287	3.17929100990295	2.44978523254395	5.29698324203491	4.84104633331299	4.38912057876587	5.33786916732788	3.18225026130676
4.47198963165283	6.11481857299805	5.24279642105103	4.73084735870361	5.71268272399902	4.84539747238159	4.65275239944458	5.37795734405518	6.09374952316284	7.46817445755005	5.55629062652588	6.4451961517334	3.97088384628296	2.80455136299133	5.64419984817505	5.21179151535034	4.40519666671753	5.20946216583252	4.96599102020264	5.43976736068726	3.00035548210144	6.03500843048096	4.6211314201355	5.72258710861206	4.49727725982666	6.36363935470581	5.86187839508057	3.39195775985718	4.71891736984253	5.06298065185547	3.09269785881042	4.81946992874146	4.33505773544312	5.41677093505859	6.04140090942383	3.0113959312439	5.8679404258728	5.27741527557373	4.35930299758911	5.52020645141602	5.79050016403198	3.97798180580139	5.84308052062988	5.26626825332642	2.98285841941833	2.23705744743347	5.27960252761841	4.60055494308472	4.20628118515015	5.11902189254761	3.41624474525452
4.54358196258545	5.97943735122681	4.93837118148804	4.67592525482178	5.5234260559082	4.59583044052124	4.6786584854126	5.14608812332153	5.9652419090271	6.87087488174438	5.31514883041382	6.23547267913818	4.06987380981445	2.76467800140381	5.48921537399292	5.19494819641113	4.29361391067505	5.09009456634521	4.92889070510864	5.47900104522705	2.55882358551025	5.90690469741821	4.39173460006714	5.53763723373413	4.15193605422974	6.34329319000244	5.6712589263916	2.68802213668823	4.70240068435669	4.98359155654907	3.10119152069092	4.60365390777588	4.1759467124939	5.36617660522461	6.10677719116211	2.45152735710144	5.74575138092041	5.283616065979	4.18380165100098	5.18323469161987	5.53067779541016	4.02147912979126	5.94146585464478	5.28101253509521	2.66833543777466	2.11274337768555	5.38374185562134	4.49902153015137	4.14812898635864	4.77335405349731	2.99978399276733
4.00223636627197	5.84805870056152	4.71752786636353	4.551438331604	5.55579423904419	4.67674255371094	4.80663442611694	5.11704921722412	5.44279479980469	6.84965324401855	5.11455631256104	6.06767225265503	3.86675262451172	2.52321124076843	5.37898349761963	5.01167440414429	4.14741802215576	5.05778074264526	4.69969367980957	5.47360372543335	2.0213942527771	5.61391687393188	3.91720271110535	5.35420846939087	4.17844295501709	6.18307828903198	5.53177118301392	2.23814511299133	4.65388441085815	4.74833536148071	2.12994742393494	4.20606422424316	4.03545331954956	5.14506721496582	5.78206348419189	2.13318943977356	5.49281740188599	5.21626377105713	3.97700810432434	4.99312305450439	5.362548828125	3.24925184249878	5.61993026733398	5.17518186569214	2.96558690071106	1.12523353099823	5.33045196533203	4.31454229354858	3.79897308349609	4.16055202484131	2.82034492492676
3.61489343643188	5.7168493270874	4.76930952072144	4.52064275741577	5.63404607772827	4.49744939804077	4.67312574386597	4.91823720932007	5.3561749458313	6.62715721130371	4.94013118743896	5.91144943237305	4.12226581573486	2.91051936149597	5.27573919296265	4.90906476974487	4.20051002502441	5.01674222946167	4.72335243225098	5.41870784759521	1.67365646362305	5.44316816329956	3.8078556060791	5.21336030960083	4.00573396682739	5.99156665802002	5.37056589126587	2.5236177444458	4.11955404281616	4.54603910446167	1.88660526275635	4.2247953414917	4.17841768264771	5.00537109375	5.68774032592773	2.05182957649231	5.26075124740601	4.98074817657471	3.59853315353394	4.9020094871521	5.33871984481812	3.70805811882019	5.49076509475708	5.01870632171631	2.86407279968262	1.48478615283966	5.01930999755859	4.18990850448608	3.79191923141479	4.90770864486694	3.09444832801819
3.82051849365234	5.69442081451416	4.98315811157227	4.31480598449707	5.5984468460083	4.42570734024048	4.54863834381104	4.95960712432861	5.67301273345947	6.82113647460938	5.03716516494751	5.74395322799683	4.14543771743774	2.18537735939026	5.29221248626709	5.01060914993286	4.07896566390991	4.97684955596924	4.72402334213257	5.39284372329712	2.20621275901794	5.50629043579102	3.89664793014526	5.13097620010376	4.27534055709839	6.05825185775757	5.36424541473389	2.34093570709229	4.36200523376465	4.44250392913818	2.24524641036987	3.984530210495	4.24617528915405	5.1409592628479	5.862961769104	1.46666193008423	5.4016547203064	5.02532911300659	3.31919384002686	4.62650775909424	5.46839570999146	3.44615769386292	5.52476501464844	4.97771596908569	2.58999347686768	2.08727884292603	5.18924570083618	3.92472386360168	3.80555248260498	4.99446249008179	2.93545293807983
3.9475405216217	5.83227729797363	4.67783403396606	4.33297204971313	5.3327112197876	4.27200698852539	4.29268264770508	4.79558229446411	5.74261665344238	6.57385206222534	4.82706880569458	5.57645702362061	3.87070822715759	2.43112421035767	5.17159700393677	4.96235847473145	4.16894626617432	4.75145053863525	4.70900917053223	5.29730081558228	2.17046713829041	5.48482990264893	3.65389442443848	5.09922456741333	4.14180946350098	5.89112854003906	5.25272798538208	1.88440573215485	4.27443933486938	4.07874917984009	2.44497585296631	4.15725612640381	4.20692920684814	4.98199462890625	5.67358779907227	1.12623119354248	5.34132194519043	5.09439754486084	3.17837572097778	4.67758750915527	5.46816778182983	3.48717856407166	5.41813945770264	5.04876041412354	2.48429322242737	2.66177153587341	4.97227954864502	3.85436081886292	3.97800993919373	4.79071760177612	2.51987504959106
3.83160042762756	5.70190143585205	4.40920925140381	4.29163217544556	5.23541212081909	4.01365804672241	3.9639937877655	4.65789413452148	5.34533023834229	6.39854335784912	4.81467533111572	5.54343700408936	3.72233366966248	2.17529273033142	5.00950908660889	4.67189645767212	3.80908036231995	4.40234327316284	4.58258771896362	5.15215015411377	1.43689393997192	5.34392261505127	3.56310820579529	5.05868291854858	4.05878925323486	5.56000661849976	5.0081262588501	1.45097327232361	4.26896905899048	3.81882071495056	2.80629134178162	4.49045658111572	3.91968631744385	4.72858858108521	5.38821840286255	1.65302109718323	4.95524072647095	5.02893781661987	3.23423051834106	4.50333118438721	5.50557804107666	3.22079253196716	5.20843553543091	4.79723215103149	2.20586395263672	2.02755546569824	4.87357521057129	3.50208854675293	3.73773264884949	4.61432838439941	2.33135509490967
3.89864897727966	5.57676839828491	4.35691165924072	4.22005176544189	5.0445876121521	3.95511269569397	4.11139869689941	4.55399370193481	5.20596694946289	6.45899438858032	4.80518817901611	5.49959659576416	3.78330183029175	2.62743902206421	5.0329647064209	4.67207336425781	3.94236993789673	4.43923044204712	4.53095245361328	5.41987419128418	1.57010865211487	5.37906360626221	3.50317311286926	5.0689435005188	3.99920082092285	5.90209436416626	4.98142051696777	1.86949360370636	4.3579158782959	3.5992603302002	2.24224448204041	4.43251276016235	4.02221822738647	4.85863590240479	5.28148126602173	2.64907288551331	4.97473335266113	4.94603204727173	3.03679323196411	4.44416475296021	5.55051803588867	3.14108753204346	5.1602611541748	4.92277240753174	2.06935167312622	2.35145688056946	4.81311559677124	3.52184963226318	4.00024938583374	4.53627300262451	2.51127123832703
3.87356662750244	5.62278747558594	4.10486698150635	4.24533557891846	4.95960283279419	4.03736925125122	3.94051694869995	4.59173345565796	5.38250780105591	6.45533561706543	4.7220516204834	5.52888822555542	3.8310980796814	2.44265532493591	5.18938636779785	4.73295879364014	4.10002040863037	4.68026828765869	4.53062438964844	5.59207439422607	1.56671071052551	5.29716825485229	3.56957030296326	5.10216569900513	4.0815315246582	6.01851844787598	5.15456533432007	1.9652271270752	4.37242364883423	4.17332935333252	2.03556561470032	4.47896766662598	3.94574570655823	4.70346355438232	5.4301905632019	2.84894227981567	5.15678405761719	5.1296648979187	3.2345449924469	4.62505865097046	5.64702081680298	3.49360728263855	5.21235847473145	5.10592365264893	1.8663911819458	1.97123956680298	4.85993480682373	3.39326620101929	4.07269620895386	4.93278408050537	2.24485373497009
4.2284631729126	5.4726448059082	3.92761445045471	4.24063062667847	4.75298357009888	3.97922682762146	4.10239028930664	4.63274717330933	5.43252086639404	6.21858644485474	4.91079235076904	5.51292085647583	3.73064804077148	1.9099178314209	5.21031427383423	4.68302583694458	3.93183374404907	4.75358295440674	4.39042806625366	5.63654327392578	1.81615769863129	5.16507530212402	3.61775517463684	5.03662252426147	4.10594415664673	6.04718208312988	5.0492148399353	2.0500648021698	4.54378747940063	3.92310285568237	2.28405451774597	4.48685932159424	4.05324125289917	4.69006681442261	5.41038465499878	2.61289405822754	5.11414003372192	4.85272598266602	3.23035836219788	4.7532377243042	5.6673059463501	3.43112802505493	5.14374685287476	5.08970785140991	2.20712304115295	1.96482145786285	4.85133075714111	3.53745627403259	3.6457781791687	4.95317363739014	2.36397790908813
4.24553728103638	5.56001091003418	4.17934465408325	4.21877479553223	4.88120603561401	4.03176164627075	4.27522993087769	4.52355098724365	5.49681043624878	6.04065132141113	4.88428640365601	5.46107816696167	3.68294882774353	2.06301403045654	5.22742652893066	4.70999670028687	3.90398168563843	4.69911956787109	4.42262077331543	5.64975786209106	1.48644697666168	5.11591386795044	3.76423025131226	5.19921875	4.21187162399292	5.94094848632812	5.0490403175354	2.12622857093811	4.58205413818359	4.13378095626831	2.12920594215393	4.41002321243286	4.12502098083496	4.68612194061279	5.32508850097656	2.4168119430542	5.17271661758423	4.93095350265503	3.33585715293884	4.74981069564819	5.27827262878418	3.76912760734558	5.20733737945557	5.07839345932007	2.17998051643372	2.36158919334412	4.89893913269043	3.59227681159973	3.69851064682007	5.03714942932129	2.53577494621277
4.48518180847168	5.51055288314819	4.37820100784302	4.16041421890259	5.16134309768677	4.09814071655273	4.27935695648193	4.3787989616394	5.49966669082642	6.01406145095825	4.81981468200684	5.41515350341797	3.8658766746521	1.77834832668304	5.25066566467285	4.80054521560669	3.93797373771667	4.67741346359253	4.46766471862793	5.58070278167725	2.1212215423584	5.10552024841309	3.87132120132446	5.1801586151123	4.06189584732056	5.75461435317993	5.05528450012207	2.52960896492004	4.34358787536621	4.30333042144775	2.7086489200592	4.63753271102905	3.92606496810913	4.78841972351074	5.22925758361816	2.24167823791504	5.25879430770874	5.02058172225952	3.24255633354187	4.81650829315186	5.50320863723755	3.77203059196472	5.09452056884766	4.97717666625977	2.12354445457458	2.59805607795715	5.00799465179443	3.76668190956116	3.80380749702454	4.90055322647095	2.86376190185547
