State,date,Homicide Rate
Aguascalientes,2019-03-31,2.172659625069034
Aguascalientes,2019-06-30,2.1639003256320977
Aguascalientes,2019-09-30,1.5297480365915732
Aguascalientes,2019-12-31,2.4940996069483767
Aguascalientes,2020-03-31,1.726067158281279
Aguascalientes,2020-06-30,1.7204968060697292
Aguascalientes,2020-09-30,1.9897338879583137
Aguascalientes,2020-12-31,0.9578091893581925
Aguascalientes,2021-03-31,1.4327142794766181
Aguascalientes,2021-06-30,2.041027371537737
Aguascalientes,2021-09-30,1.6959638773261838
Aguascalientes,2021-12-31,1.8261377119756985
Aguascalientes,2022-03-31,1.4159062912761968
Aguascalientes,2022-06-30,1.1425478548327983
Aguascalientes,2022-09-30,1.674757232774061
Aguascalientes,2022-12-31,1.6692644130410057
Aguascalientes,2023-03-31,2.196180110727408
Aguascalientes,2023-06-30,1.6583153903608097
Aguascalientes,2023-09-30,1.5868065848065473
Aguascalientes,2023-12-31,2.108943634527098
Aguascalientes,2024-03-31,1.970850680469045
Aguascalientes,2024-06-30,3.0124578228618044
Aguascalientes,2024-09-30,3.3947514965740213
Aguascalientes,2024-12-31,1.4968708890285003
Baja California,1990-03-31,4.044381123720549
Baja California,1990-06-30,4.293950713182661
Baja California,1990-09-30,4.193106532859978
Baja California,1990-12-31,3.4681995476937137
Baja California,1991-03-31,3.3202362207383085
Baja California,1991-06-30,4.288836622431618
Baja California,1991-09-30,3.8038730410513244
Baja California,1991-12-31,4.419719880700303
Baja California,1992-03-31,4.428634180414635
Baja California,1992-06-30,3.6887046872922875
Baja California,1992-09-30,3.175233741303828
Baja California,1992-12-31,5.34390285133891
Baja California,1993-03-31,2.956637027677235
Baja California,1993-06-30,3.235600507766726
Baja California,1993-09-30,4.7294556430457755
Baja California,1993-12-31,4.028609168006599
Baja California,1994-03-31,3.2414948577424267
Baja California,1994-06-30,4.9389610269878
Baja California,1994-09-30,4.794120256103861
Baja California,1994-12-31,4.361341328910394
Baja California,1995-03-31,4.752859316964507
Baja California,1995-06-30,4.614029312880658
Baja California,1995-09-30,4.100743805795058
Baja California,1995-12-31,5.418508972692738
Baja California,1996-03-31,3.8425285504500852
Baja California,1996-06-30,4.542813956625763
Baja California,1996-09-30,4.366575201067143
