outcome,T/N,N,T,S,event time,att estimate,confidence interval_l,confidence interval_u
theft_nonviolent_rate,1.27272727272727,33,42,90,27,-1.19594671016697,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,28,-2.0466020487816,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,29,-1.86047720570832,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,30,-2.28156756774432,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,31,-2.29971721433327,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,32,-2.9749416272055,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,33,-1.42780404193222,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,34,-1.0440438076169,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,35,-3.74182061817958,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,36,-0.197137556331427,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,37,-0.203105169656732,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,38,-4.68173254770096,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,39,-4.29175392541294,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,40,-3.99941372907952,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,41,-2.71833854529588,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,42,-3.21297547177135,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,43,-1.39665835251768,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,44,-3.00911738105639,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,45,-4.64693077501427,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,46,-2.76740272793082,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,47,-4.36442628823307,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,48,-1.99340678379573,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,49,-3.98247942648088,NaN,NaN
