"Year","NOM_MUN","idunico","co_num","presence_strength","n.cell","n.weak","n.strong","war","peace","idunico_num","new_cartel_presence","intentional_hom","hom_ym","hom_all","MU_Type","policial","estatal","unico","population","population_male","population_female","population_over17","born_in_state","illiterate_over15","inschool_15to17","inschool_18to24","noschooling_over15","primaryincomplete_over15","yearsofschooling_average","single_over11","indigenousspeaker_over2","economicallyactive","economicallyinactive","employed","housing","homes","homes_malehead","homes_femalehead","ncand","elec_comp","elec_comp_perc","party.mayor","party.governor","party.pres","political_vulnerability","state_political_vulnerability","federal_political_vulnerability","mun_election_year","TT_PERSO","police_any_hom_worked","police_mun_hom_worked","police_state_hom_worked","police_fed_hom_worked","police_any_hom_killed","police_mun_hom_killed","police_state_hom_killed","police_fed_hom_killed","mu","log_pop","log_econin","state_federal_political_vulnerability"
2000,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,2,3,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,7,858,0.0311252992817239,"pan","pan","pri",0,0,1,1,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2001,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,1,2,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2002,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,0,1,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2003,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,0,1,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,5,5088,0.212424849699399,"pan","pan","pan-pvem",0,0,0,1,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2004,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,0,0,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2005,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,2,4,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2006,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,0,0,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,3,795,0.0271321797890857,"pan","pan","pan-pvem",0,0,0,1,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2007,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,1,1,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pri","pan-panal","pan",1,1,1,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,1
2008,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,3,4,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pri","pan-panal","pan",1,1,1,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,1
2009,"Abasolo","11001",2,2,0,2,0,1,0,11001,1,NA,2,5,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,6,5720,0.180078075809092,"pri","pan-panal","pan",1,1,1,1,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,1
2010,"Abasolo","11001",2,2,0,2,0,1,0,11001,0,NA,0,0,0,0,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,NA,NA,NA,"pri","pan-panal","pan",1,1,1,0,109,0,0,0,0,0,0,0,0,0,11.3425166686399,10.223431082444,1
2011,"Abasolo","11001",3,2,1,2,0,1,0,11001,1,9,3,9,0,0,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,NA,NA,NA,"pri","pan-panal","pan",1,1,1,0,109,0,0,0,0,0,0,0,0,0,11.3425166686399,10.223431082444,1
2012,"Abasolo","11001",2,2,0,2,0,1,0,11001,1,14,2,9,0,0,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,6,6825,0.183034756490024,"pri","pan-panal","pan",1,1,1,1,170,0,0,0,0,0,0,0,0,0,11.3425166686399,10.223431082444,1
2013,"Abasolo","11001",2,2,0,2,0,1,0,11001,0,6,1,3,0,0,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,170,0,0,0,0,0,0,0,0,0,11.3425166686399,10.223431082444,0
2014,"Abasolo","11001",2,2,0,2,0,1,0,11001,0,1,1,3,0,0,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,100,0,0,0,0,0,0,0,0,0,11.3425166686399,10.223431082444,0
2015,"Abasolo","11001",2,1,2,0,0,1,0,11001,1,13,5,9,1,1,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,10,4253,0.12972395912765,"pan","pan-panal","pri-pvem",0,0,1,1,100,0,0,0,0,0,0,0,0,1,11.3425166686399,10.223431082444,0
2016,"Abasolo","11001",3,2,2,1,0,1,0,11001,1,11,7,13,1,1,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,91,0,0,0,0,0,0,0,0,1,11.3425166686399,10.223431082444,0
2017,"Abasolo","11001",2,2,1,1,0,1,0,11001,1,11,9,26,1,1,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,91,1,1,0,0,1,1,0,0,1,11.3425166686399,10.223431082444,0
2018,"Abasolo","11001",2,2,1,1,0,1,0,11001,0,NA,NA,NA,1,1,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,7,903,0.0266159695817491,"pan","pan-panal","pri-pvem",0,0,1,1,76,0,0,0,0,1,1,0,0,1,11.3425166686399,10.223431082444,0
2019,"Abasolo","11001",2,3,1,0,1,1,0,11001,1,NA,NA,NA,1,1,0,0,84332,40281,44051,51943,80583,116,2844,1660,6742,7697,12042,6.34,28915,33411,27541,22154,19055,14959,4096,23269,NA,NA,NA,"pri","pan-prd-mc","morena-pt-pes",1,1,1,0,76,3,2,1,0,3,2,1,0,1,11.3425166686399,10.223431082444,1
2020,"Abasolo","11001",3,3,1,1,1,1,0,11001,1,NA,NA,NA,1,1,0,0,92040,47187,44853,61603,88083,84,2954,2701,5057,5880,9185,7.73,42110,29130,41683,22794,22275,5972,16303,27505,NA,NA,NA,"pri","pan-prd-mc","morena-pt-pes",1,1,1,0,131,0,0,0,0,1,1,0,0,1,11.4299785441493,10.6378486508044,1
2021,"Abasolo","11001",1,3,0,0,1,0,0,11001,1,NA,NA,NA,1,1,0,0,92040,47187,44853,61603,88083,84,2954,2701,5057,5880,9185,7.73,42110,29130,41683,22794,22275,5972,16303,27505,11,729,0.0225815444661277,"pri","pan-prd-mc","morena-pt-pes",1,1,1,1,131,NA,NA,NA,NA,NA,NA,NA,NA,1,11.4299785441493,10.6378486508044,1
2000,"Acámbaro","11002",0,0,0,0,0,0,0,11002,0,NA,6,10,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,5,7474,0.176949666177376,"prd","pan","pri",1,1,1,1,237,0,0,0,0,0,0,0,0,0,11.6147417071045,10.8048879719151,1
2001,"Acámbaro","11002",0,0,0,0,0,0,0,11002,0,NA,2,9,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,NA,NA,NA,"prd","pan","pan-pvem",1,1,1,0,237,0,0,0,0,0,0,0,0,0,11.6147417071045,10.8048879719151,1
2002,"Acámbaro","11002",0,0,0,0,0,0,0,11002,0,NA,1,5,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,NA,NA,NA,"prd","pan","pan-pvem",1,1,1,0,237,0,0,0,0,0,0,0,0,0,11.6147417071045,10.8048879719151,1
2003,"Acámbaro","11002",0,0,0,0,0,0,0,11002,0,NA,2,6,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,7,709,0.0205835389751778,"prd","pan","pan-pvem",1,1,1,1,237,0,0,0,0,0,0,0,0,0,11.6147417071045,10.8048879719151,1
2004,"Acámbaro","11002",0,0,0,0,0,0,0,11002,0,NA,2,8,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,237,0,0,0,0,0,0,0,0,0,11.6147417071045,10.8048879719151,0
2005,"Acámbaro","11002",0,0,0,0,0,0,0,11002,0,NA,2,10,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,237,0,0,0,0,0,0,0,0,0,11.6147417071045,10.8048879719151,0
2006,"Acámbaro","11002",0,0,0,0,0,0,0,11002,0,NA,3,5,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,4,2988,0.0704318310390345,"pan","pan","pan-pvem",0,0,0,1,237,0,0,0,0,0,0,0,0,0,11.6147417071045,10.8048879719151,0
2007,"Acámbaro","11002",0,0,0,0,0,0,0,11002,0,NA,4,9,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,237,1,0,1,0,1,0,1,0,0,11.6147417071045,10.8048879719151,0
2008,"Acámbaro","11002",1,2,0,1,0,0,0,11002,1,NA,7,19,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,237,1,1,0,0,2,2,0,0,0,11.6147417071045,10.8048879719151,0
2009,"Acámbaro","11002",1,2,0,1,0,0,0,11002,1,NA,7,20,0,0,0,0,110718,51939,58779,64785,97606,10162,2951,1829,12481,16087,6,30227,281,30865,49261,30357,23962,25520,19734,5786,6,8204,0.206634259375866,"pan-pna","pan-panal","pan",0,0,0,1,237,1,0,0,1,1,0,0,1,0,11.6147417071045,10.8048879719151,0
2010,"Acámbaro","11002",2,2,0,2,0,1,0,11002,1,NA,7,16,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,NA,NA,NA,"pri-prd","pan-panal","pan",1,1,1,0,237,0,0,0,0,1,1,0,0,0,11.5993783527004,10.4811958228297,1
2011,"Acámbaro","11002",2,2,1,1,0,1,0,11002,1,28,7,27,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,NA,NA,NA,"pri-prd","pan-panal","pan",1,1,1,0,237,2,0,2,0,2,0,2,0,0,11.5993783527004,10.4811958228297,1
2012,"Acámbaro","11002",3,2,1,2,0,1,0,11002,1,25,11,26,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,6,8138,0.187416516972963,"pri-prd","pan-panal","pan",1,1,1,1,237,0,0,0,0,0,0,0,0,0,11.5993783527004,10.4811958228297,1
2013,"Acámbaro","11002",3,2,1,2,0,1,0,11002,1,22,10,28,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,NA,NA,NA,"pan-pna","pan-panal","pri-pvem",0,0,1,0,237,0,0,0,0,0,0,0,0,0,11.5993783527004,10.4811958228297,0
2014,"Acámbaro","11002",2,2,0,2,0,1,0,11002,1,33,18,36,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,NA,NA,NA,"pan-pna","pan-panal","pri-pvem",0,0,1,0,250,0,0,0,0,0,0,0,0,0,11.5993783527004,10.4811958228297,0
2015,"Acámbaro","11002",2,1,2,0,0,1,0,11002,1,24,11,30,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,7,4796,0.125143513203215,"pan-pna","pan-panal","pri-pvem",0,0,1,1,250,0,0,0,0,1,1,0,0,0,11.5993783527004,10.4811958228297,0
2016,"Acámbaro","11002",1,1,1,0,0,0,0,11002,1,40,26,55,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,NA,NA,NA,"prd","pan-panal","pri-pvem",1,1,1,0,248,0,0,0,0,0,0,0,0,0,11.5993783527004,10.4811958228297,1
2017,"Acámbaro","11002",0,0,0,0,0,0,0,11002,0,27,34,68,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,NA,NA,NA,"prd","pan-panal","pri-pvem",1,1,1,0,248,0,0,0,0,0,0,0,0,0,11.5993783527004,10.4811958228297,1
2018,"Acámbaro","11002",2,3,0,1,1,1,0,11002,1,NA,NA,NA,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,9,3063,0.0713237862382117,"prd","pan-panal","pri-pvem",1,1,1,1,205,0,0,0,0,0,0,0,0,0,11.5993783527004,10.4811958228297,1
2019,"Acámbaro","11002",2,3,0,1,1,1,0,11002,0,NA,NA,NA,0,0,0,0,109030,51803,57227,71379,95294,217,4021,2766,8436,9801,12510,7.19,38938,44997,35639,28781,27419,20197,7222,39391,NA,NA,NA,"morena-pt-pes","pan-prd-mc","morena-pt-pes",0,1,0,0,205,5,5,0,0,5,5,0,0,0,11.5993783527004,10.4811958228297,0
2020,"Acámbaro","11002",4,3,2,1,1,1,1,11002,1,NA,NA,NA,0,0,0,0,108697,56489,52208,76891,98068,98,3637,3084,5984,7248,8744,8.34,51121,36172,50207,27829,30171,10701,19470,45739,NA,NA,NA,"morena-pt-pes","pan-prd-mc","morena-pt-pes",0,1,0,0,147,0,0,0,0,0,0,0,0,0,11.5963194738324,10.8239097381897,0
2021,"Acámbaro","11002",3,3,1,1,1,1,1,11002,1,NA,NA,NA,0,0,0,0,108697,56489,52208,76891,98068,98,3637,3084,5984,7248,8744,8.34,51121,36172,50207,27829,30171,10701,19470,45739,12,773,0.0215638686640444,"morena-pt-pes","pan-prd-mc","morena-pt-pes",0,1,0,1,147,NA,NA,NA,NA,NA,NA,NA,NA,0,11.5963194738324,10.8239097381897,0
2000,"Celaya","11007",0,0,0,0,0,0,0,11007,0,NA,17,22,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,7,43626,0.287304242456173,"pan","pan","pri",0,0,1,1,720,0,0,0,0,0,0,0,0,0,12.8556806015752,11.7990888848527,0
2001,"Celaya","11007",0,0,0,0,0,0,0,11007,0,NA,7,24,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,720,0,0,0,0,0,0,0,0,0,12.8556806015752,11.7990888848527,0
2002,"Celaya","11007",0,0,0,0,0,0,0,11007,0,NA,8,27,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,720,0,0,0,0,0,0,0,0,0,12.8556806015752,11.7990888848527,0
2003,"Celaya","11007",0,0,0,0,0,0,0,11007,0,NA,6,26,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,9,17598,0.156938635370498,"pan","pan","pan-pvem",0,0,0,1,720,0,0,0,0,0,0,0,0,0,12.8556806015752,11.7990888848527,0
2004,"Celaya","11007",0,0,0,0,0,0,0,11007,0,NA,6,25,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,720,0,0,0,0,0,0,0,0,0,12.8556806015752,11.7990888848527,0
2005,"Celaya","11007",0,0,0,0,0,0,0,11007,0,NA,16,24,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,720,0,0,0,0,0,0,0,0,0,12.8556806015752,11.7990888848527,0
2006,"Celaya","11007",0,0,0,0,0,0,0,11007,0,NA,4,19,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,5,70671,0.461814427330767,"pan","pan","pan-pvem",0,0,0,1,720,0,0,0,0,0,0,0,0,0,12.8556806015752,11.7990888848527,0
2007,"Celaya","11007",0,0,0,0,0,0,0,11007,0,NA,10,27,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,NA,NA,NA,"pan","pan-panal","pan",0,0,0,0,720,1,0,1,0,1,0,1,0,0,12.8556806015752,11.7990888848527,0
2008,"Celaya","11007",2,2,0,2,0,1,0,11007,1,NA,22,45,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,NA,NA,NA,"pan","pan-panal","pan",0,0,0,0,720,1,0,1,0,1,0,1,0,0,12.8556806015752,11.7990888848527,0
2009,"Celaya","11007",2,2,0,2,0,1,0,11007,0,NA,29,66,0,0,0,0,382958,182759,200199,222107,328659,20093,13339,12843,24839,35231,8,105455,1124,138248,133131,136735,80886,86810,68545,18265,6,7402,0.0537322967253933,"pan","pan-panal","pan",0,0,0,1,720,1,1,0,0,1,1,0,0,0,12.8556806015752,11.7990888848527,0
2010,"Celaya","11007",2,2,0,2,0,1,0,11007,0,NA,41,79,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,NA,NA,NA,"pan","pan-panal","pan",0,0,0,0,720,1,1,0,0,1,1,0,0,0,13.0572252098481,12.1208850589687,0
2011,"Celaya","11007",3,2,1,2,0,1,0,11007,1,90,36,95,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,NA,NA,NA,"pan","pan-panal","pan",0,0,0,0,720,1,0,1,0,1,0,1,0,0,13.0572252098481,12.1208850589687,0
2012,"Celaya","11007",3,2,1,2,0,1,0,11007,0,99,40,102,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,5,17259,0.0925658752165448,"pan","pan-panal","pan",0,0,0,1,881,6,5,0,1,6,5,0,1,0,13.0572252098481,12.1208850589687,0
2013,"Celaya","11007",4,2,1,3,0,1,0,11007,1,65,35,76,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,NA,NA,NA,"pan-pna","pan-panal","pri-pvem",0,0,1,0,881,1,1,0,0,1,1,0,0,0,13.0572252098481,12.1208850589687,0
2014,"Celaya","11007",3,3,0,2,1,1,0,11007,1,74,40,97,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,NA,NA,NA,"pan-pna","pan-panal","pri-pvem",0,0,1,0,702,1,1,0,0,1,1,0,0,0,13.0572252098481,12.1208850589687,0
2015,"Celaya","11007",2,3,1,0,1,1,0,11007,1,76,50,103,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,8,15032,0.103248849508895,"pan-pna","pan-panal","pri-pvem",0,0,1,1,702,5,5,0,0,5,5,0,0,0,13.0572252098481,12.1208850589687,0
2016,"Celaya","11007",3,3,1,1,1,1,1,11007,1,100,55,140,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,1025,6,6,0,0,6,6,0,0,0,13.0572252098481,12.1208850589687,0
2017,"Celaya","11007",3,3,1,1,1,1,0,11007,0,96,116,231,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,1025,4,4,0,0,3,3,0,0,0,13.0572252098481,12.1208850589687,0
2018,"Celaya","11007",3,3,1,1,1,1,0,11007,0,NA,NA,NA,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,8,17352,0.0950695544025553,"pan","pan-panal","pri-pvem",0,0,1,1,867,7,7,0,0,4,4,0,0,0,13.0572252098481,12.1208850589687,0
2019,"Celaya","11007",3,3,1,1,1,1,0,11007,0,NA,NA,NA,0,0,0,0,468469,225024,243445,297477,398114,1279,19265,16935,17635,22218,31389,9.01,193298,157964,183668,125328,114842,85858,28984,146758,NA,NA,NA,"pan","pan-prd-mc","morena-pt-pes",0,0,1,0,867,11,7,4,0,10,6,4,0,0,13.0572252098481,12.1208850589687,0
2020,"Celaya","11007",2,3,0,1,1,1,0,11007,1,NA,NA,NA,0,0,0,0,521169,268124,253045,365309,459580,1076,19838,22861,13175,17929,21136,10.11,262642,154424,258044,147000,143420,49539,93881,180622,NA,NA,NA,"pan","pan-prd-mc","morena-pt-pes",0,0,1,0,1076,22,19,3,0,20,17,3,0,0,13.1638296443365,12.4608853919987,0
2021,"Celaya","11007",2,3,0,0,2,1,0,11007,1,NA,NA,NA,0,0,0,0,521169,268124,253045,365309,459580,1076,19838,22861,13175,17929,21136,10.11,262642,154424,258044,147000,143420,49539,93881,180622,11,19846,0.126477729697348,"pan","pan-prd-mc","morena-pt-pes",0,0,1,1,1076,NA,NA,NA,NA,NA,NA,NA,NA,0,13.1638296443365,12.4608853919987,0
2000,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,1,3,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,6,677,0.0328067454933127,"pan","pan","pri",0,0,1,1,122,0,0,0,0,0,0,0,0,0,11.1219843708782,10.215850042382,0
2001,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,0,3,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,NA,NA,NA,"pri","pan","pan-pvem",1,1,1,0,122,0,0,0,0,0,0,0,0,0,11.1219843708782,10.215850042382,1
2002,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,0,2,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,NA,NA,NA,"pri","pan","pan-pvem",1,1,1,0,122,0,0,0,0,0,0,0,0,0,11.1219843708782,10.215850042382,1
2003,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,0,2,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,7,1444,0.0791059493809576,"pri","pan","pan-pvem",1,1,1,1,122,0,0,0,0,0,0,0,0,0,11.1219843708782,10.215850042382,1
2004,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,2,2,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,122,0,0,0,0,0,0,0,0,0,11.1219843708782,10.215850042382,0
2005,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,0,0,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,122,0,0,0,0,0,0,0,0,0,11.1219843708782,10.215850042382,0
2006,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,1,3,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,4,3451,0.15585764610243,"pan","pan","pan-pvem",0,0,0,1,122,0,0,0,0,0,0,0,0,0,11.1219843708782,10.215850042382,0
2007,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,1,2,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,122,2,0,2,0,2,0,2,0,0,11.1219843708782,10.215850042382,0
2008,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,4,7,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,122,0,0,0,0,0,0,0,0,0,11.1219843708782,10.215850042382,0
2009,"Comonfort","11009",0,0,0,0,0,0,0,11009,0,NA,3,9,0,0,0,0,67642,31854,35788,34514,64477,7227,1735,922,8032,8836,5,18084,145,17141,27333,16958,12432,13385,9974,3411,6,2643,0.116191146085198,"pan-pna","pan-panal","pan",0,0,0,1,122,0,0,0,0,0,0,0,0,0,11.1219843708782,10.215850042382,0
