config,q,N,nburn,seed,rmse_pre,att_post,alpha1,alpha2,n_donors,secs
q1_const,1,2000,2000,100,166.150086974879,-555.189460877968,-553.644056735399,,3,91.7
q2_linear,2,2000,2000,100,135.180846311809,-1312.18888107492,-27.9947847457143,-178.101924022142,4,99.2
q1_const,1,2000,2000,200,169.449467671593,-582.497224762705,-579.874847074718,,3,91.1
q2_linear,2,2000,2000,200,135.563409092272,-1438.22645254544,-28.8090816760397,-194.678767409187,4,98.5
q1_const,1,2000,2000,300,222.095177249789,-278.712665583257,-277.528557813409,,3,90.3
q2_linear,2,2000,2000,300,149.016537900154,-978.254243423722,-33.9288595184431,-131.75849257905,3,97.6
q1_const,1,25000,25000,200,195.516004303588,-389.799298955488,-389.69767497536,,3,1351.1
q2_linear,2,25000,25000,200,141.274913370327,-1122.55171224016,-33.3204762430057,-151.012975302351,3,1458.0
