config,N,nburn,seed,rmse_pre,att_post,rmse_pre_donor_only,mean_incl,n_donors,sigma_post,gp_sd,secs
basc,2000,2000,100,166.150086974879,-555.189460877968,166.234961382409,0.18996875,3,226.920329212909,0.896023400698618,130.0
g1_a2.5,2000,2000,100,205.891696374345,-197.083328100978,206.304728322651,1.0,16,302.278696006795,0.669451587763679,132.1
g1_a1,2000,2000,100,193.000840740996,-337.530725140677,193.199522801241,1.0,16,248.289901584074,0.560111865975783,120.7
basc,2000,2000,200,169.449467671593,-582.497224762705,169.604242412247,0.189375,3,225.678807897295,0.846534121740573,136.7
g1_a2.5,2000,2000,200,205.27496865061,-194.816955975874,205.724995538508,1.0,16,303.281215891861,0.937515174431918,132.0
g1_a1,2000,2000,200,193.010510716533,-347.283011674555,193.186944746019,1.0,16,247.783054449766,0.81150069147855,117.4
basc,2000,2000,300,222.095177249789,-278.712665583257,222.470261701083,0.20671875,3,218.745128422259,0.883727355708281,136.7
g1_a2.5,2000,2000,300,202.074154936631,-199.380695995369,202.548674766326,1.0,16,306.678634195008,0.878346296144421,134.3
g1_a1,2000,2000,300,195.888686553521,-289.746859006722,196.190948447837,1.0,16,250.76504723377,0.787088972099143,123.0
