item1;item2;item3;item4;item5;item6;item7;item8;item9;item10
662;496;542;1086;1363;544;2382;1171;1258;210
109;75;90;217;269;89;447;222;231;39
456;312;379;644;920;314;1408;778;819;155
447;342;357;636;729;280;1187;732;757;135
443;323;324;729;745;282;1289;638;776;108
504;360;408;703;739;262;1345;697;697;142
600;486;489;953;989;366;1670;961;970;155
787;531;615;1298;1393;508;2303;1260;1260;197
157;110;102;242;266;86;447;234;206;38
582;353;410;765;930;306;1659;785;878;177
497;367;405;797;769;291;1376;697;795;145
495;314;379;665;786;282;1363;725;727;158
564;466;478;925;837;295;1621;735;805;135
686;510;594;1113;998;409;1884;972;980;170
996;707;747;1586;1518;547;2734;1344;1392;190
171;127;119;292;288;81;535;244;267;35
602;394;469;831;944;373;1700;855;840;141
516;350;405;826;986;345;1506;818;831;140
502;384;395;796;1055;425;1673;709;708;110
419;332;361;639;1447;598;2250;727;713;112
461;394;381;717;1751;757;2821;856;919;145
643;508;557;1064;2328;951;3763;1116;1253;187
114;80;115;207;510;207;796;212;217;32
422;296;362;674;1655;549;2457;782;837;104
374;271;292;601;1339;499;1975;667;679;115
328;254;293;568;1188;449;1900;603;599;103
368;259;343;627;1207;474;1891;654;704;96
513;352;426;790;1456;645;2488;834;951;157
650;504;571;1146;2175;814;3347;1213;1242;174
129;96;122;250;521;192;793;235;224;38
421;265;341;660;1381;503;2059;717;797;128
371;281;314;629;1163;464;1596;645;751;92
357;317;291;615;933;317;1097;676;714;114
495;389;484;798;654;265;1055;698;769;131
626;503;584;1038;860;419;1271;966;1046;147
829;699;718;1369;1218;492;1774;1263;1397;190
181;128;137;247;223;77;333;257;253;39
475;339;431;782;756;315;1074;784;787;107
496;399;450;778;702;254;1030;782;785;98
598;510;537;903;947;357;1314;892;912;142
395;329;360;519;552;228;795;522;537;89
777;609;734;1181;1082;428;1537;1070;1186;162
996;778;918;1430;1441;540;1956;1348;1571;196
184;140;172;268;253;90;367;249;233;32
530;437;500;785;792;312;1146;770;894;131
445;428;467;777;799;299;1001;762;882;127
478;337;466;662;727;267;1098;659;781;118
403;359;390;638;717;287;1100;682;796;102
610;467;481;880;859;349;1417;914;1002;160
832;700;728;1229;1387;557;2260;1318;1399;206
156;131;141;215;308;114;459;264;259;32
459;352;447;677;869;308;1407;800;838;127
428;344;420;692;823;282;1247;772;868;134
400;362;367;648;786;314;1177;709;778;101
433;353;430;705;728;294;1192;738;831;102
586;502;535;941;930;351;1621;996;1153;162
1403;1271;1310;2172;1883;827;2777;1413;1559;190
138;121;131;217;305;114;480;257;302;46
447;422;473;737;939;380;1466;817;866;128
463;318;372;619;728;282;1154;682;834;112
418;351;403;592;781;291;1184;703;813;114
398;330;402;652;838;352;1336;784;824;104
555;480;476;824;999;419;1622;953;1115;160
735;572;635;1081;1390;515;2275;1198;1492;183
101;84;103;181;277;87;376;226;219;26
465;355;435;679;940;341;1462;888;911;136
441;355;405;614;828;297;1319;825;837;111
429;379;370;631;855;320;1334;781;833;123
477;409;408;682;934;375;1487;843;870;130
583;518;569;892;1148;493;2047;1077;1163;146
683;531;635;1039;1398;491;2271;1117;1184;158
119.5;102.5;117;199;291;100.5;428;241.5;260.5;36
456;388.5;454;708;939.5;360.5;1464;852.5;888.5;132
555;462;529;832;981;378;1647;914;937;167
499;428;514;773;816;335;1388;831;882;190
469;443;481;805;747;315;1299;710;833;187
534;460;552;851;864;322;1372;838;954;198
678;589;684;1161;1125;455;1918;1109;1195;233
126;114;132;232;277;80;387;244;233;54
506;440;506;796;929;347;1542;875;963;168
427;423;435;740;747;286;1261;739;793;140
487;412;464;703;718;296;1274;670;736;144
469;405;469;782;745;281;1215;752;792;151
649;546;609;934;904;334;1518;860;939;187
876;686;825;1384;1262;511;2081;1158;1241;216
185;140;174;290;302;81;519;268;314;34
559;394;493;898;855;346;1449;804;787;122
512;397;409;870;746;302;1230;753;708;153
478;351;453;787;692;276;1078;662;742;133
468;383;455;859;658;264;1075;701;818;105
632;499;590;1074;836;348;1307;854;1039;143
828;638;768;1424;1116;484;1837;1152;1230;189
164;102;143;288;245;73;328;240;280;34
591;387;441;886;832;386;1331;794;921;139
700;474;562;1051;937;372;1388;950;1062;149
482.5;381.5;458.5;745;705;286;1176;666;739;138.5
683;476;532;1098;850;415;1313;886;991;145
751;512;630;1178;914;399;1481;1019;1120;182
891;659;732;1444;1140;473;1809;1105;1288;170
182;120;161;319;249;90;356;249;252;33
810;488;633;1218;1105;422;1473;1058;1166;157
606;435.5;485.5;960.5;841.5;337;1309;851.5;885;151
783;628;687;1240;1163;486;1753;1280;1225;178
626;538;529;970;830;343;1339;1691;1751;325
726;507;559;1054;928;373;1499;1808;1789;350
833;608;704;1350;1183;490;1985;2335;2209;423
177;124;137;267;280;109;416;463;562;72
577;384;407;785;828;291;1323;1399;1562;267
549;373;434;813;702;258;1127;1347;1384;298
490;388;455;711;704;275;1129;1381;1508;254
576;485;431;723;746;326;1200;1303;1425;252
697;491;545;973;883;402;1477;1603;1709;362
897;632;757;1176;1295;507;2041;2107;2611;367
171;119;122;270;260;67;422;452;493;65
646;419;484;835;942;375;1559;1690;1659;311
543;406;488;759;858;357;1281;1544;1645;309
458;375;373;635;886;375;1180;1280;1388;281
406;276;382;684;1498;689;1127;625;738;106
456;374;417;778;1673;787;1411;755;986;151
569;476;526;1046;2130;1015;1858;933;1172;160
106;76;96;191;459;218;429;239;258;35
423;305;390;677;1759;830;1515;816;986;156
440;305;348;637;1547;682;1241;768;792;140
385;249;297;556;1294;757;1067;653;692;126
335;279;319;583;1362;751;1120;593;802;107
455;340;455;775;1615;757;1346;805;976;174
542;421;511;957;2065;955;1875;1059;1203;197
130;76;81;225;464;231;417;248;253;37
342;287;351;561;1501;714;1441;778;920;153
324;269;265;535;1300;625;1166;657;730;138
336;304;321;521;1138;491;1177;625;810;134
449;310;375;703;823;315;1222;734;759;164
755;639;752;1315;1359;492;2104;1106;1257;212
555.5;448.5;518.5;1001.5;2097.5;985;1866.5;996;1187.5;178.5
306;245;294;532;563;190;912;550;525;70
559;478;527;860;1137;468;1808;1000;1124;206
470;359;424;818;835;282;1276;760;812;146
439;372;360;736;721;311;1228;691;818;128
464;323;417;778;732;320;1173;769;842;170
629;532;572;1032;971;373;1565;856;1081;184
764;648;723;1264;1217;536;2026;1122;1308;190
154;102;139;325;287;99;486;265;284;48
491;330;436;852;928;359;1308;798;907;146
449;348;406;701;813;309;1152;691;809;138
433;382;377;724;840;260;1175;718;794;140
485;410;474;759;820;348;1146;671;850;128
548;496;518;959;869;341;1306;865;951;165
729;586;692;1068;1096;450;1639;1015;1223;169
152;125;135;247;279;111;359;280;262;37
471;384;418;695;884;358;1228;695;821;118
397;308;391;625;703;262;977;714;823;128
403;340;359;647;625;259;873;626;788;112
434;337;405;667;649;240;1001;647;783;128
569;431;494;821;813;310;1240;832;1017;178
678;528;591;1008;987;392;1409;929;1259;182
153;106;148;259;257;111;371;245;316;42
475;375;424;714;867;319;1252;739;930;141
430;343;360;629;718;260;962;700;793;114
421;379;412;584;736;240;911;649;645;127
499;356;460;695;713;295;1126;677;844;132
543;432;500;851;853;352;1331;812;886;137
609;571;627;1015;1030;437;1533;950;1152;165
176;136;166;284;273;115;416;297;304;43
516;387;516;761;840;328;1269;767;894;128
473;381;475;797;724;275;1099;696;790;113
428;313;416;685;699;258;1037;649;767;135
416;351;393;695;679;281;965;644;710;148
525;383;472;799;848;326;1254;802;904;133
628;481;634;1017;1010;425;1586;880;1127;170
134;109;147;275;235;114;433;250;240;38
449;320;450;754;796;340;1256;757;772;134
398;365;421;703;727;294;1025;620;803;120
435;350;412;575;668;263;1012;598;732;107
839;547;617;608;680;263;1025;612;743;108
965;651;721;710;804;320;1194;731;926;155
1221;724;890;908;894;400;1480;921;1105;138
393;185;237;244;277;92;397;281;273;38
882;538;657;629;846;341;1248;745;799;137
763;448;644;617;667;268;1022;596;724;103
777;486;588;609;646;242;964;562;678;93
716;513;605;586;641;275;1004;568;644;111
903;629;728;707;766;280;1236;731;833;135
1131;733;909;893;882;403;1453;919;1100;145
334;203;256;257;280;101;428;258;277;23
848;524;614;621;812;321;1240;737;749;134
705;461;559;497;703;242;977;631;699;101
650;441;511;513;640;226;979;577;639;102
520;365;458;597;681;280;1002;591;689;112
655;456;541;720;768;290;1209;681;852;139
785;583;635;866;939;399;1581;974;1037;158
213;146;163;269;288;116;475;246;251;41
480;426;435;620;754;295;1153;749;841;113
420;359;425;557;655;256;970;613;659;116
488;404;497;659;684;273;1131;594;721;115
465;392;472;660;662;281;1020;590;702;130
564;423;582;727;740;317;1229;704;865;114
681;510;604;925;927;391;1386;858;990;134
164;131;176;241;236;97;413;214;259;47
431;343;465;631;728;276;1047;642;698;102
399;318;381;591;628;254;892;531;630;104
411;301;385;485;599;223;848;485;608;100
382;273;358;590;596;236;928;531;640;106
453;328;435;647;659;318;1072;629;808;108
518;362;468;771;736;305;1207;703;837;131
113;79;111;219;191;93;288;182;236;40
439;335;434;626;746;341;1134;651;758;109
470;368;490;733;866;326;1350;732;890;113
449.5;352.5;441;572;641.5;248;989.5;539.5;664.5;107.5
432;329;413;619;706;281;1050;544;742;101
472;360;458;646;716;330;1076;598;784;114
432;390;454;720;732;321;1136;696;809;150
113;81;110;173;205;100;365;215;228;34
439;288;467;641;779;303;1279;698;856;127
401;250;351;523;575;252;905;544;607;92
336;261;326;535;555;252;882;537;560;76
316;189;305;472;548;238;859;493;621;88
339;286;313;553;596;250;964;583;663;118
452;333;401;703;761;322;1290;770;879;148
128;79;118;209;280;101;430;252;257;34
376;255;293;595;829;286;1213;700;752;132
311;198;266;462;635;242;954;581;633;103
313;214;264;470;598;207;870;577;634;110
339;244;265;416;589;231;889;512;644;91
380;248;344;616;709;259;1198;662;802;125
521;340;469;843;1024;397;1629;976;1074;209
115;81;112;225;267;129;458;263;281;47
416;309;337;634;940;328;1362;734;827;142
326;223;276;553;721;252;1132;623;710;103
363;245;343;588;642;226;1006;532;674;120
379;259;341;654;647;267;1002;1278;1386;263
469;330;422;780;819;312;1240;1632;1780;340
631;402;514;969;1025;416;1597;1695;1905;359
161;100;136;236;245;64;395;455;430;77
466;319;386;626;794;291;1274;1522;1481;292
426;265;352;548;700;234;1100;1291;1428;208
395;303;333;581;646;260;1026;1143;1277;164
386;325;390;645;694;243;1104;1226;1467;139
506;389;415;730;776;316;1321;1484;1672;331
737;507;627;1040;1109;405;1896;1885;2031;317
141;132;136;241;332;100;519;468;502;95
529;351;427;788;992;340;1468;1519;1634;316
438;312;400;629;685;265;1120;1402;1353;267
381;304;352;606;645;223;902;1015;1300;242
436;347;387;582;658;232;939;422;640;96
522;399;440;762;794;289;1082;647;794;104
647;464;530;977;1032;376;1488;833;926;119
132;90;119;257;254;90;351;197;229;27
472;347;413;675;816;317;1139;661;690;116
416;314;359;633;649;237;968;589;642;98
470;338;370;618;721;262;898;594;610;86
445;315;461;629;655;236;912;567;653;112
518;430;493;840;804;284;1080;721;796;136
740;515;643;1086;1102;406;1604;942;1108;152
172;117;152;274;284;112;352;263;224;39
576;425;548;770;941;336;1351;761;858;143
493;365;418;706;728;277;1210;653;906;112
439;310;399;638;707;280;1425;596;869;172
482;372;432;678;652;369;2878;829;1724;350
551;493;558;890;826;429;3413;1097;2088;414
786;684;703;1183;1149;566;4463;1434;2772;477
156;127;128;229;278;129;1030;285;584;85
513;357;495;731;824;387;2565;888;1776;314
438;354;402;625;641;352;2337;786;1554;290
444;351;392;711;684;301;2206;734;1616;294
409;330;405;744;679;322;2415;820;1675;294
537;434;526;868;743;384;2698;999;2014;326
1463;1360;1435;2236;1441;830;5413;1247;2553;439
122;145;136;273;206;123;899;273;616;70
458;370;461;826;818;405;2429;857;1688;298
418;361;487;913;676;335;2081;818;1403;269
472;366;465;1325;636;333;1746;682;1028;230
516;371;528;1832;791;402;2092;689;940;212
635;479;628;2177;910;438;2438;899;1183;261
904;606;862;2687;1218;573;3122;1134;1539;285
198;141;166;657;289;123;798;237;293;62
672;385;562;1877;1004;484;2367;881;1107;194
592;408;527;1642;750;361;1964;766;994;202
581;379;556;1593;726;350;1860;762;970;207
589;449;545;1611;759;378;1836;729;893;198
768;545;685;2155;1005;482;2361;1007;1270;266
1026;734;908;2564;1423;660;3486;1227;1558;303
274;156;216;702;400;158;820;346;388;66
655;471;575;1602;858;458;1988;877;1011;219
684;441;604;1536;915;510;2002;1143;1074;291
598;470;581;1199;956;570;2076;1718;1181;690
552.5;410;536.5;1721.5;775;390;1964;709;916.5;205
836;607;762;1473;1246;739;2522;2209;1664;775
863;585;730;1448;1123;650;2331;2420;2330;783
206;133;152;347;279;153;548;564;452;171
609;460;553;1066;998;551;1834;1744;1425;624
525;372;520;978;826;503;1585;1680;1315;605
519;342;469;934;749;533;1519;1498;1309;526
494;379;439;879;766;431;1569;1388;1209;544
678;482;596;1142;1061;601;1982;1885;1698;588
871;614;735;1497;1398;713;2761;2198;1919;714
248;128;187;369;323;170;653;597;467;157
589;408;516;1035;960;507;1812;1490;1238;466
547;401;459;900;864;434;1489;1395;1294;430
530;351;446;747;807;355;1379;1030;1188;307
519;371;465;755;850;454;1389;962;1156;267
613;501;547;1009;1041;567;1651;1252;1480;348
934;707;720;1295;1433;750;2442;1559;1816;409
188;137;176;304;381;221;556;464;490;82
542;411;497;828;937;485;1547;1037;1190;297
502;415;475;802;807;465;1360;852;1098;289
493;350;539;757;807;444;1430;941;922;231
531;403;484;774;796;455;1386;938;997;240
668;524;552;1006;943;512;1727;1161;1048;303
1139;793;1030;1693;1532;816;3042;1497;728;349
200;144;204;378;370;201;655;379;132;92
533;401;475;835;959;514;1493;932;225;236
496;365;459;748;808;447;1393;869;102;232
433;343;437;735;748;428;1270;775;95;183
590;452;526;863;892;528;1534;930;161;210
723;522;719;1083;1053;569;1893;1040;1007;257
1081;768;961;1428;1477;826;2686;1331;1652;318
299;242;297;454;517;278;841;430;511;91
670;484;625;930;1155;607;1814;907;1103;237
628;477;659;951;943;518;1545;792;1070;199
594;433;520;836;832;461;1527;729;948;251
653;517;643;1008;938;490;1573;795;1028;206
840;677;829;1237;1229;634;2195;1167;1376;278
1110;780.5;995.5;1560.5;1504.5;821;2864;1414;1190;333.5
353;247;386;590;582;304;985;516;603;102
728;512;612;998;1191;617;1964;859;1002;254
663;494;565;888;1067;515;1679;862;949;186
551;414;497;793;877;450;1403;751;923;198
511;421;572;770;856;461;1420;762;905;205
640;470;577;919;996;576;1761;952;1145;199
750;627;769;1122;1423;752;2370;1174;1339;276
259;227;275;420;575;274;972;442;487;111
537;450;474;750;987;474;1610;812;963;183
483;373;462;722;827;397;1277;660;852;168
459;348;418;686;809;389;1221;707;795;195
486;383;446;736;889;418;1287;719;873;163
538;465;558;915;931;452;1439;906;959;208
711;515;607;1093;1276;565;2041;1012;1131;257
339;300;361;620;784;363;1166;657;651;135
505;343;392;670;902;424;1275;650;712;125
573;433.5;513.5;805;947;456;1478;761;900.5;177
505;381;457.5;739.5;843;419.5;1312;729;859;196.5
546;407;515;809;1123;466;1871;842;846;183
618;457;576;872;1030;457;1677;798;919;195
697;542;654;1092;1270;549;1983;824;993;179
363;245;307;521;767;298;1204;448;477;100
461;379;457;711;902;360;1374;604;608;133
528;403.25;487.75;763.5;887;426.5;1377.5;710.5;876.25;172.5
533;401;511;782;984;486;1618;755;861;185
537;477;541;806;901;419;1695;772;784;197
687;535;648;1123;1014;534;2001;896;1106;244
808;655;802;1480;1372;660;2555;1105;1310;236
351;272.5;334;570.5;775.5;330.5;1185;552.5;564;117.5
627;454;499;1082;1019;491;1868;905;898;167
522;369;531;1614;859;468;1384;869;947;180
529;358;538;1606;825;435;1129;818;810;176
527;389;560;1576;868;525;843;750;843;175
716;479;690;1543;960;483;1942;936;1056;213
1059;797;997;1648;1545;702;2881;1355;1482;285
199;143;225;273;301;155;693;294;300;73
685;456;641;635;1109;564;2199;837;971;221
613;457;611;679;920;421;1881;824;979;191
549;413;579;1258;925;463;1802;771;884;167
551;448;585;1537;923;458;1814;837;911;165
699;531;549;1805;1024;521;2165;976;1204;210
1099;668;817;2287;1600;755;3200;1277;1414;276
251;144;200;490;314;111;663;348;289;56
757;479;630;1163;1162;580;1972;902;1070;169
661;460;599;917;1038;516;1366;790;931;172
577;372;503;1098;879;407;1531;755;878;161
522;370;488;895;942;480;1717;856;938;160
699;500;653;1209;1114;540;2084;1056;1264;220
879;684;761;1471;1596;730;2915;1201;1508;272
194;103;185;294;317;149;613;259;365;54
552;401;440;853;1035;485;1971;720;969;181
496;359;405;835;900;414;1669;756;937;169
481;349;364;736;838;449;1517;689;851;154
495;328;446;781;870;442;1522;666;874;169
750;523;681;1279;1233;609;2310;1141;1407;257
961;613;780;1516;1737;770;3154;1357;1711;310
192;122;168;319;339;154;637;288;346;59
562;400;482;913;1030;482;1893;839;1055;199
511;396;440;933;949;426;1605;792;946;168
471;355;441;827;894;465;1485;731;841;151
528;423;537;1121;962;491;1600;729;1009;182
739;509;710;1429;1197;594;2099;944;1150;221
970;643;896;1923;1765;912;3007;1275;1712;285
194;141;200;412;382;179;584;283;345;45
626;410;537;1162;1114;565;2050;856;1087;193
570;361;459;1101;978;437;1660;764;1031;164
550;349;544;1036;1070;494;1750;730;982;171
549;367;538;1083;1045;459;1658;734;1037;177
763;512;649;1374;1211;569;2030;1010;1369;223
