"dates" "sat" "sun" "hol" "excl.dates"
"159" "2018-02-06" 0 0 0 0
"160" "2018-02-07" 0 0 0 0
"161" "2018-02-08" 0 0 0 0
"162" "2018-02-09" 0 0 0 0
"163" "2018-02-10" 1 0 0 0
"164" "2018-02-11" 0 1 0 0
"165" "2018-02-12" 0 0 0 0
"166" "2018-02-13" 0 0 0 0
"167" "2018-02-14" 0 0 0 0
"168" "2018-02-15" 0 0 0 0
"169" "2018-02-16" 0 0 0 0
"170" "2018-02-17" 1 0 0 0
"171" "2018-02-18" 0 1 0 0
"172" "2018-02-19" 0 0 0 0
"173" "2018-02-20" 0 0 0 0
"174" "2018-02-21" 0 0 0 0
"175" "2018-02-22" 0 0 0 0
"176" "2018-02-23" 0 0 0 0
"177" "2018-02-24" 1 0 0 0
"178" "2018-02-25" 0 1 0 0
"179" "2018-02-26" 0 0 0 0
"180" "2018-02-27" 0 0 0 0
"181" "2018-02-28" 0 0 0 0
"182" "2018-03-01" 0 0 0 0
"183" "2018-03-02" 0 0 0 0
"184" "2018-03-03" 1 0 0 0
"185" "2018-03-04" 0 1 0 0
"186" "2018-03-05" 0 0 0 0
"187" "2018-03-06" 0 0 0 0
"188" "2018-03-07" 0 0 0 0
"189" "2018-03-08" 0 0 0 0
"190" "2018-03-09" 0 0 0 0
"191" "2018-03-10" 1 0 0 0
"192" "2018-03-11" 0 1 0 0
"193" "2018-03-12" 0 0 0 0
"194" "2018-03-13" 0 0 0 0
"195" "2018-03-14" 0 0 0 0
"196" "2018-03-15" 0 0 0 0
"197" "2018-03-16" 0 0 0 0
"198" "2018-03-17" 1 0 0 0
"199" "2018-03-18" 0 1 0 0
"200" "2018-03-19" 0 0 0 0
"201" "2018-03-20" 0 0 0 0
"202" "2018-03-21" 0 0 0 0
"203" "2018-03-22" 0 0 0 0
"204" "2018-03-23" 0 0 0 0
"205" "2018-03-24" 1 0 0 0
"206" "2018-03-25" 0 1 0 0
"207" "2018-03-26" 0 0 0 0
"208" "2018-03-27" 0 0 0 0
"209" "2018-03-28" 0 0 0 0
"210" "2018-03-29" 0 0 0 0
"211" "2018-03-30" 0 0 0 0
"212" "2018-03-31" 1 0 1 0
"213" "2018-04-01" 0 1 0 0
"214" "2018-04-02" 0 0 0 0
"215" "2018-04-03" 0 0 1 0
"216" "2018-04-04" 0 0 0 0
"217" "2018-04-05" 0 0 0 0
"218" "2018-04-06" 0 0 0 0
"219" "2018-04-07" 1 0 0 0
